Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
M001_R1_001_val_1	19.70071337465488	21.0	125.69996758975661	8.333333333333332	40974700.0
M001_R2_001_val_2	15.631393678884365	21.0	124.80695868426126	16.666666666666664	40974700.0
M002_R1_001_val_1	20.92427322443868	21.0	125.41762710889695	16.666666666666664	47228244.0
M002_R2_001_val_2	16.533032819571503	21.0	124.49737483358476	16.666666666666664	47228244.0
M003_R1_001_val_1	22.5804825712043	21.0	125.49066566647879	16.666666666666664	44687604.0
M003_R2_001_val_2	18.180405403864256	21.0	124.57808156373746	16.666666666666664	44687604.0
M004_R1_001_val_1	19.705748159288305	21.0	125.71822629174626	16.666666666666664	39884981.0
M004_R2_001_val_2	16.17764471892491	21.0	124.83483900869854	16.666666666666664	39884981.0
M005_R1_001_val_1	21.609798089437035	21.0	125.19085976602412	16.666666666666664	44043599.0
M005_R2_001_val_2	17.09599041990724	21.0	124.29155110598478	16.666666666666664	44043599.0
M006_R1_001_val_1	21.68129895782012	21.0	125.62478540300816	8.333333333333332	43945164.0
M006_R2_001_val_2	17.386487624262287	21.0	124.7163296284433	16.666666666666664	43945164.0
M007_R1_001_val_1	20.92915975463741	21.0	125.6974706883845	16.666666666666664	42027878.0
M007_R2_001_val_2	16.669836016296898	21.0	124.76629590958649	16.666666666666664	42027878.0
M008_R1_001_val_1	19.636720278195185	20.0	125.70451371376261	16.666666666666664	46902664.0
M008_R2_001_val_2	15.215669971781168	20.0	124.75276050417946	16.666666666666664	46902664.0
M009_R1_001_val_1	19.356263757199756	21.0	125.42238360648773	16.666666666666664	36247510.0
M009_R2_001_val_2	15.545523307838863	21.0	124.47967016217115	16.666666666666664	36247510.0
M010_R1_001_val_1	18.78437695568836	21.0	125.82320540111954	16.666666666666664	38411592.0
M010_R2_001_val_2	14.88673941174632	21.0	124.84182959664885	8.333333333333332	38411592.0
M011-RESUB_R1_001_val_1	21.807230609012123	21.0	125.8828186227495	16.666666666666664	41690063.0
M011-RESUB_R2_001_val_2	17.40220128702755	21.0	124.95865057819654	16.666666666666664	41690063.0
M012_R1_001_val_1	18.350423820482092	21.0	125.531733411206	16.666666666666664	36709495.0
M012_R2_001_val_2	14.669355657523724	21.0	124.55391995994496	16.666666666666664	36709495.0
M013_R1_001_val_1	19.85769341647874	21.0	126.02786679656266	16.666666666666664	33650513.0
M013_R2_001_val_2	15.927706593682572	21.0	125.07607212407133	16.666666666666664	33650513.0
M014_R1_001_val_1	19.68491149330559	21.0	126.36052194262261	16.666666666666664	36097531.0
M014_R2_001_val_2	15.762611072318222	21.0	125.3680756448412	16.666666666666664	36097531.0
M015_R1_001_val_1	20.04623760226491	21.0	126.14815396948711	16.666666666666664	38326425.0
M015_R2_001_val_2	15.823441337496476	21.0	125.13212526344422	16.666666666666664	38326425.0
M016_R1_001_val_1	21.2489843409264	21.0	125.76169731597138	16.666666666666664	40438764.0
M016_R2_001_val_2	16.935135038131648	21.0	124.79749437940289	16.666666666666664	40438764.0
M017_R1_001_val_1	20.149815436988376	21.0	125.43903619447808	16.666666666666664	41586979.0
M017_R2_001_val_2	15.937654259190012	21.0	124.5618259503774	16.666666666666664	41586979.0
M018_R1_001_val_1	20.425759292340842	21.0	125.91259999087586	16.666666666666664	43335579.0
M018_R2_001_val_2	15.591238469378226	21.0	124.93414595891288	16.666666666666664	43335579.0
M019_R1_001_val_1	19.86453290257313	21.0	125.88558781000543	16.666666666666664	41125006.0
M019_R2_001_val_2	15.407725215485698	21.0	124.92117141575615	16.666666666666664	41125006.0
M020_R1_001_val_1	21.60385244755396	21.0	126.16707845224079	16.666666666666664	44576598.0
M020_R2_001_val_2	16.5326185228908	21.0	125.15078750513891	16.666666666666664	44576598.0
M021-RESUB_R1_001_val_1	20.784892425997768	20.0	126.29060389777335	16.666666666666664	42143805.0
M021-RESUB_R2_001_val_2	16.32678289349046	21.0	125.34973700167795	16.666666666666664	42143805.0
M022_R1_001_val_1	19.51453633339885	21.0	125.88928608747835	16.666666666666664	29781632.0
M022_R2_001_val_2	15.149058766290395	21.0	124.85530863453018	16.666666666666664	29781632.0
M023_R1_001_val_1	20.090423710719875	21.0	125.460358929648	16.666666666666664	39347878.0
M023_R2_001_val_2	16.02969478553503	21.0	124.49685596768396	16.666666666666664	39347878.0
M024_R1_001_val_1	20.573044409098088	21.0	125.99154078583301	16.666666666666664	39738443.0
M024_R2_001_val_2	16.334900262328375	21.0	124.98733146137607	16.666666666666664	39738443.0
M025_R1_001_val_1	20.43980763345445	21.0	126.05585070436577	16.666666666666664	39760734.0
M025_R2_001_val_2	16.205276677284985	21.0	125.04880915930778	16.666666666666664	39760734.0
M026_R1_001_val_1	19.38101421850436	21.0	125.91267512107679	16.666666666666664	36787191.0
M026_R2_001_val_2	15.636950333348011	21.0	124.96432744756184	16.666666666666664	36787191.0
