Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
M011-RESUB_R2_001_val_2	M011-RESUB_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41690063.0	0.0	20-130	21.0	82.59779871297245	124.95865057819654	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M012_R1_001_val_1	M012_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36709495.0	0.0	20-130	21.0	81.64957617951791	125.531733411206	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M012_R2_001_val_2	M012_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36709495.0	0.0	20-130	21.0	85.33064434247628	124.55391995994496	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M013_R1_001_val_1	M013_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33650513.0	0.0	20-130	21.0	80.14230658352126	126.02786679656266	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M013_R2_001_val_2	M013_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33650513.0	0.0	20-130	21.0	84.07229340631743	125.07607212407133	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M014_R1_001_val_1	M014_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36097531.0	0.0	20-130	21.0	80.31508850669441	126.36052194262261	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M014_R2_001_val_2	M014_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36097531.0	0.0	20-130	21.0	84.23738892768178	125.3680756448412	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M015_R1_001_val_1	M015_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38326425.0	0.0	20-130	21.0	79.95376239773509	126.14815396948711	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M015_R2_001_val_2	M015_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38326425.0	0.0	20-130	21.0	84.17655866250352	125.13212526344422	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M016_R1_001_val_1	M016_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40438764.0	0.0	20-130	21.0	78.7510156590736	125.76169731597138	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M016_R2_001_val_2	M016_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40438764.0	0.0	20-130	21.0	83.06486496186835	124.79749437940289	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M017_R1_001_val_1	M017_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41586979.0	0.0	20-130	21.0	79.85018456301162	125.43903619447808	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
