gene_id	GO.IDs
comp10058_c0_seq1	GO:0003677;GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626
comp10063_c0_seq1	GO:0003700;GO:0005634;GO:0006355;GO:0003677;GO:0007275;GO:0004722
comp10063_c0_seq1	GO:0003700;GO:0005634;GO:0006355;GO:0003677;GO:0007275;GO:0004722
comp10070_c0_seq1	GO:0002226;GO:0042381
comp10070_c0_seq1	GO:0002226;GO:0042381
comp10071_c0_seq1	GO:0004143;GO:0007205
comp10071_c0_seq1	GO:0004143;GO:0007205
comp10072_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004707;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
comp10073_c0_seq1	GO:0006626;GO:0042721;GO:0045039
comp10078_c0_seq1	GO:0004861;GO:0005634;GO:0007050
comp10081_c0_seq1	GO:0004842;GO:0005622;GO:0006464;GO:0006512;GO:0010992
comp10087_c0_seq1	GO:0004888;GO:0016020;GO:0002226;GO:0009682
comp10089_c0_seq1	GO:0004402
comp10090_c0_seq1	GO:0030144
comp10097_c0_seq1	GO:0003774;GO:0005524;GO:0016459
comp101_c0_seq1	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022625;GO:0042254
comp10104_c0_seq1	GO:0008757
comp10105_c0_seq1	GO:0004672;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605;GO:0008091
comp1011_c0_seq1	GO:0005509
comp10111_c0_seq1	GO:0006508;GO:0030693;GO:0004197;GO:0016946;GO:0006915;GO:1900119
comp10115_c0_seq1	GO:0007155;GO:0002226;GO:0042381
comp10118_c0_seq1	GO:0005525;GO:0003924
comp1013_c0_seq1	GO:0004866;GO:0002226;GO:0009682
comp10130_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0007242;GO:0009190;GO:0016849;GO:0004016;GO:0008294;GO:0004383
comp10132_c0_seq1	GO:0016787
comp10138_c0_seq1	GO:0003676;GO:0005634;GO:0008270
comp10140_c0_seq1	GO:0003700;GO:0005634;GO:0006355
comp10145_c0_seq1	GO:0003735;GO:0005622;GO:0005840;GO:0006412
comp10149_c0_seq1	GO:0003677;GO:0003700;GO:0005634;GO:0006355
comp10150_c0_seq1	GO:0016251
comp10151_c0_seq1	GO:0000159;GO:0007165;GO:0008601
comp10152_c0_seq1	GO:0000145;GO:0006904
comp10153_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
