gene,Fish_kME
isogroup10399,0
isogroup104,0
isogroup1040,0
isogroup10400,0
isogroup10401,0
isogroup10402,0
isogroup10403,0
isogroup10405,0
isogroup10407,0
isogroup10408,0
isogroup10409,0
isogroup1041,0
isogroup10411,0
isogroup10413,0
isogroup10414,0
isogroup10416,0
isogroup10418,0
isogroup10419,0
isogroup1042,0
isogroup10420,0
isogroup10421,0
isogroup10422,0
isogroup10424,0
isogroup10425,0
isogroup10426,0
isogroup10428,0
isogroup1043,0
isogroup10430,0
isogroup10432,0
isogroup10433,0
isogroup10434,0
isogroup10435,0
isogroup10436,0
isogroup10437,0
isogroup10438,0
isogroup10439,0
isogroup1044,0
isogroup10440,0
isogroup10441,0
isogroup10442,0
isogroup10443,0
isogroup10444,0
isogroup10445,0
isogroup10446,0
isogroup10448,0
isogroup10449,0
isogroup10450,0
isogroup10454,0
isogroup10456,0
isogroup10458,0
isogroup10459,0
isogroup1046,0
isogroup10461,0
isogroup10462,0
isogroup10464,0
isogroup10465,0
isogroup10467,0
isogroup10468,0
isogroup10469,0
isogroup1047,0
isogroup10471,0
isogroup10473,0
isogroup10474,0
isogroup10476,0
isogroup10478,0
isogroup10479,0
isogroup1048,0
isogroup10480,0
isogroup10482,0
isogroup10483,0
isogroup10484,0
isogroup10485,0
isogroup10487,0
isogroup10488,0
isogroup10489,0
isogroup1049,0
isogroup10491,0
isogroup10493,0
isogroup10495,0
isogroup10496,0
isogroup10497,0
isogroup10499,0
isogroup105,0
isogroup1050,0
isogroup10501,0
isogroup10503,0
isogroup10504,0
isogroup10506,0
isogroup10507,0
isogroup10508,0
isogroup1051,0
isogroup10510,0
isogroup10512,0
isogroup10513,0
isogroup10516,0
isogroup10517,0
isogroup10518,0
isogroup10519,0
isogroup1052,0
isogroup10521,0
isogroup10522,0
isogroup10525,0
isogroup10526,0
isogroup10527,0
isogroup10528,0
isogroup10529,0
isogroup1053,0
isogroup10531,0
isogroup10532,0
isogroup10533,0
isogroup10534,0
isogroup10535,0
isogroup10536,0
isogroup10538,0
isogroup10539,0
isogroup10540,0
isogroup10542,0
isogroup10543,0
isogroup10544,0
isogroup10545,0
isogroup10546,0
isogroup10547,0
isogroup10550,0
isogroup10551,0
isogroup10552,0
isogroup10553,0
isogroup10554,0
isogroup10555,0
isogroup10557,0
isogroup10558,0
isogroup10560,0
isogroup10563,0
isogroup10564,0
isogroup10566,0
isogroup10567,0
isogroup10568,0
isogroup10569,0
isogroup1057,0
isogroup10573,0
isogroup10574,0
isogroup10575,0
isogroup10577,0
isogroup10578,0
isogroup1058,0
isogroup10580,0
isogroup10581,0
isogroup10582,0
isogroup10583,0
isogroup10584,0
isogroup10585,0
isogroup10586,0
isogroup10587,0
isogroup10588,0
isogroup10589,0
isogroup1059,0
isogroup10592,0
isogroup10593,0
isogroup10595,0
isogroup10596,0
isogroup10597,0
isogroup10598,0
isogroup106,0
isogroup1060,0
isogroup10600,0
isogroup10602,0
isogroup10607,0
isogroup10608,0
isogroup10609,0
isogroup1061,0
isogroup10611,0
isogroup10612,0
isogroup10613,0
isogroup10615,0
isogroup10616,0.476817407718674
isogroup10617,0
isogroup10618,0
isogroup10619,0
isogroup1062,0.541977257555818
isogroup10620,0
isogroup10627,0
isogroup10628,0
isogroup10629,0
isogroup1063,0
isogroup10630,0
isogroup10631,0
isogroup10632,0
isogroup10633,0
isogroup10634,0
isogroup10635,0
isogroup10636,0
isogroup10637,0
isogroup10638,0
isogroup10639,0
isogroup1064,0
isogroup10640,0
isogroup10641,0
isogroup10643,0
isogroup10644,0
isogroup10645,0
isogroup10646,0
isogroup10647,0
isogroup10648,0
isogroup10649,0
isogroup1065,0
isogroup10650,0
isogroup10651,0
isogroup10652,0
isogroup10653,0
isogroup10656,0
isogroup10657,0
isogroup10658,0
isogroup10659,0
isogroup1066,0
isogroup10660,0
isogroup10661,0
isogroup10662,0
isogroup10663,0
isogroup10665,0
isogroup10666,0
isogroup10667,0
isogroup10668,0
isogroup1067,0
isogroup10671,0
isogroup10672,0
isogroup10673,0
isogroup10674,0
isogroup10675,0
isogroup10678,0
isogroup10679,0
isogroup1068,0
isogroup10680,0
isogroup10682,0
isogroup10683,0
isogroup10684,0
isogroup10685,0
isogroup10686,0
isogroup10687,0
isogroup10688,0
isogroup1069,0
isogroup10690,0
isogroup10692,0
isogroup10693,0
isogroup10695,0
isogroup10697,0
isogroup10698,0
isogroup107,0
isogroup1070,0
isogroup10700,0
isogroup10701,0
isogroup10702,0
isogroup10703,0
isogroup10705,0
isogroup10706,0
isogroup10707,0
isogroup10708,0
isogroup10709,0
isogroup1071,0
isogroup10710,0
isogroup10711,0
isogroup10712,0
isogroup10713,0
isogroup10714,0
isogroup10715,0
isogroup10716,0
isogroup10717,0
isogroup10718,0
isogroup10719,0
isogroup1072,0
isogroup10720,0
isogroup10721,0
isogroup10722,0
isogroup10723,0
isogroup10724,0
isogroup10725,0
isogroup10726,0
isogroup10727,0
isogroup10729,0
isogroup1073,0
isogroup10731,0
isogroup10732,0
isogroup10734,0
isogroup10736,0
isogroup10737,0
isogroup10738,0
isogroup10739,0
isogroup10740,0
isogroup10741,0
isogroup10743,0
isogroup10744,0
isogroup10745,0
isogroup10746,0
isogroup10748,0
isogroup10749,0
isogroup1075,0
isogroup10750,0
isogroup10751,0
isogroup10752,0
isogroup10754,0
isogroup10757,0
isogroup10759,0
isogroup1076,0
isogroup10760,0
isogroup10761,0
isogroup10763,0
isogroup10764,0
isogroup10767,0
isogroup10769,0
isogroup1077,0.838544843504372
isogroup10771,0
isogroup10773,0
isogroup10774,0
isogroup10775,0
isogroup10776,0
isogroup10778,0
isogroup10779,0
isogroup1078,0
isogroup10781,0
isogroup10784,0
isogroup10786,0
isogroup10787,0
isogroup10788,0
isogroup1079,0
isogroup10790,0
isogroup10791,0
isogroup10792,0
isogroup10793,0
isogroup10794,0
isogroup10795,0
isogroup10796,0
isogroup10798,0
isogroup10799,0
isogroup108,0
isogroup1080,0
isogroup10801,0
isogroup10802,0
isogroup10803,0
isogroup10805,0
isogroup10806,0
isogroup10807,0
isogroup10809,0.600998525210478
isogroup1081,0
isogroup10811,0
isogroup10813,0
isogroup10814,0
isogroup10815,0
isogroup10816,0
isogroup10817,0
isogroup10818,0
isogroup10819,0
isogroup10822,0
isogroup10824,0
isogroup10825,0
isogroup10827,0
isogroup10829,0
isogroup1083,0.775493961618017
isogroup10830,0
isogroup10831,0
isogroup10832,0
isogroup10833,0
isogroup10835,0
isogroup10836,0
isogroup10839,0
isogroup10840,0
isogroup10841,0
isogroup10843,0
isogroup10844,0
isogroup10845,0
isogroup10846,0
isogroup10848,0
isogroup10849,0
isogroup1085,0
isogroup10850,0
isogroup10851,0
isogroup10853,0
isogroup10855,0
isogroup10856,0
isogroup10858,0
isogroup10859,0
isogroup1086,0.606363518333164
isogroup10860,0
isogroup10862,0
isogroup10863,0
isogroup10864,0
isogroup10865,0
isogroup10867,0
isogroup10869,0.74571696155294
isogroup1087,0
isogroup10870,0
isogroup10872,0
isogroup10874,0
isogroup10876,0
isogroup10878,0
isogroup1088,0
isogroup10881,0
isogroup10882,0
isogroup10884,0
isogroup10885,0
isogroup10887,0
isogroup10888,0
isogroup10889,0
isogroup1089,0
isogroup10890,0
isogroup10891,0
isogroup10892,0
isogroup10893,0
isogroup10896,0
isogroup10897,0
isogroup10898,0
isogroup109,0
isogroup1090,0
isogroup10900,0
isogroup10901,0
isogroup10903,0
isogroup10904,0
isogroup10905,0
isogroup10906,0
isogroup10907,0
isogroup10909,0
isogroup1091,0
isogroup10912,0
isogroup10914,0
isogroup10916,0
isogroup10919,0
isogroup1092,0
isogroup10921,0
isogroup10923,0
isogroup10924,0
isogroup10927,0
isogroup10929,0
isogroup1093,0.83960612133201
isogroup10930,0
isogroup10932,0
isogroup10934,0
isogroup10935,0
isogroup10936,0
isogroup10937,0
isogroup10938,0
isogroup10939,0
isogroup1094,0
isogroup10940,0
isogroup10941,0
isogroup10942,0
isogroup10943,0
isogroup10944,0
isogroup10945,0
isogroup10946,0
isogroup10947,0
isogroup10948,0
isogroup10949,0
isogroup1095,0
isogroup10951,0
isogroup10953,0
isogroup10955,0
isogroup10956,0
isogroup10957,0
isogroup10959,0
isogroup1096,0
isogroup10960,0
isogroup10961,0
isogroup10962,0
isogroup10963,0
isogroup10964,0
isogroup10965,0
isogroup10966,0
isogroup10967,0
isogroup10968,0
isogroup10969,0
isogroup1097,0
isogroup10970,0
isogroup10971,0
isogroup10972,0
isogroup10975,0
isogroup10976,0
isogroup10977,0
isogroup10978,0
isogroup10979,0
isogroup1098,0
isogroup10981,0
isogroup10982,0
isogroup10983,0
isogroup10985,0
isogroup10987,0
isogroup10988,0
isogroup10989,0
isogroup1099,0
isogroup10990,0
isogroup10991,0
isogroup10992,0.61393433812974
isogroup10993,0
isogroup10994,0
isogroup10995,0
isogroup10996,0
isogroup10997,0
isogroup10998,0
isogroup10999,0.492403714009782
isogroup11,0
isogroup110,0
isogroup1100,0
isogroup11000,0
isogroup11001,0
isogroup11002,0
isogroup11004,0
isogroup11005,0
isogroup11006,0
isogroup11008,0
isogroup11009,0
isogroup1101,0
isogroup11010,0
isogroup11011,0
isogroup11012,0
isogroup11014,0
isogroup11015,0
isogroup11016,0
isogroup11017,0
isogroup11018,0
isogroup11019,0
isogroup1102,0
isogroup11020,0
isogroup11022,0
isogroup11023,0
isogroup11024,0
isogroup11025,0
isogroup11027,0
isogroup11028,0
isogroup11029,0
isogroup1103,0
isogroup11032,0
isogroup11033,0
isogroup11034,0
isogroup11035,0
isogroup11036,0
isogroup11037,0
isogroup11038,0
isogroup11039,0
isogroup1104,0
isogroup11041,0
isogroup11042,0
isogroup11043,0
isogroup11045,0
isogroup11046,0
isogroup11047,0
isogroup11048,0
isogroup11049,0
isogroup1105,0
isogroup11050,0
isogroup11051,0
isogroup11052,0
isogroup11053,0
isogroup11054,0
isogroup11055,0
isogroup11056,0
isogroup11057,0
isogroup11059,0
isogroup1106,0
isogroup11060,0
isogroup11061,0
isogroup11062,0
isogroup11063,0
isogroup11065,0
isogroup11066,0
isogroup11067,0
isogroup11068,0
isogroup1107,0
isogroup11070,0
isogroup11071,0
isogroup11075,0
isogroup11078,0
isogroup11079,0
isogroup1108,0
isogroup11080,0
isogroup11083,0
isogroup11085,0
isogroup11086,0
isogroup11087,0
isogroup11088,0
isogroup1109,0
isogroup11090,0
isogroup11091,0
isogroup11092,0
isogroup11094,0
isogroup11095,0
isogroup11097,0
isogroup11098,0
isogroup11099,0
isogroup111,0
isogroup1110,0
isogroup11100,0
isogroup11101,0
isogroup11103,0
isogroup11104,0
isogroup11105,0
isogroup11106,0
isogroup1111,0
isogroup11110,0
isogroup11111,0
isogroup11112,0
isogroup11116,0
isogroup11117,0
isogroup11118,0
isogroup11119,0
isogroup1112,0
isogroup11121,0
isogroup11124,0
isogroup11126,0
isogroup11128,0
isogroup1113,0
isogroup11131,0
isogroup11132,0
isogroup11133,0
isogroup11136,0
isogroup11139,0
isogroup1114,0
isogroup11140,0
isogroup11141,0
isogroup11142,0
isogroup11143,0
isogroup11144,0
isogroup11145,0
isogroup11146,0
isogroup11149,0
isogroup1115,0
isogroup11150,0
isogroup11152,0
isogroup11153,0
isogroup11154,0
isogroup11156,0
isogroup11158,0.898910140228319
isogroup11159,0
isogroup1116,0
isogroup11160,0
isogroup11162,0
isogroup11163,0
isogroup11165,0
isogroup11166,0
isogroup11167,0
isogroup11168,0
isogroup11169,0
isogroup1117,0
isogroup11170,0
isogroup11171,0
isogroup11172,0
isogroup11173,0
isogroup11174,0
isogroup11175,0
isogroup11176,0
isogroup11177,0
isogroup11179,0
isogroup1118,0
isogroup11181,0.69682437014921
isogroup11182,0
isogroup11184,0
isogroup11185,0
isogroup11187,0
isogroup11188,0
isogroup1119,0
isogroup11190,0
isogroup11192,0
isogroup11193,0
isogroup11194,0
isogroup11195,0
isogroup11196,0
isogroup11197,0
isogroup11198,0
isogroup11199,0
isogroup112,0
isogroup1120,0
isogroup11200,0
isogroup11201,0
isogroup11202,0
isogroup11204,0
isogroup11205,0
isogroup11206,0
isogroup11207,0
isogroup11209,0
isogroup1121,0
isogroup11211,0
isogroup11213,0
isogroup11214,0
isogroup11215,0
isogroup11216,0
isogroup11217,0
isogroup11218,0
isogroup11219,0
isogroup1122,0
isogroup11221,0
isogroup11222,0
isogroup11223,0
isogroup11224,0
isogroup11226,0
isogroup11227,0
isogroup11228,0
isogroup11229,0
isogroup11230,0
isogroup11231,0
isogroup11233,0
isogroup11234,0
isogroup11236,0
isogroup11237,0
isogroup11238,0
isogroup11239,0
isogroup11240,0
isogroup11241,0
isogroup11242,0
isogroup11245,0
isogroup11246,0
isogroup11248,0
isogroup11249,0
isogroup1125,0
isogroup11250,0
isogroup11251,0
isogroup11252,0
isogroup11253,0
isogroup11254,0
isogroup11255,0
isogroup11256,0
isogroup11258,0
isogroup11259,0
isogroup1126,0
isogroup11261,0
isogroup11263,0
isogroup11264,0
isogroup11265,0
isogroup11266,0
isogroup11267,0
isogroup11268,0
isogroup11269,0
isogroup1127,0
isogroup11270,0
isogroup11271,0
isogroup11272,0
isogroup11273,0
isogroup11274,0
isogroup11276,0
isogroup11278,0
