gene,logP
isogroup10102,-0.351691248075797
isogroup10103,-1.83417484333516
isogroup10104,0.0651307244171403
isogroup10105,0.0758626679600265
isogroup10107,-0.0820252865542074
isogroup10108,-0.88113528492648
isogroup10109,0.0497912186271343
isogroup1011,-0.128703604150876
isogroup10110,0.55855886354815
isogroup10111,-0.0288989254542027
isogroup10112,-0.23251401192063
isogroup10113,0.270535325368306
isogroup10114,-0.146835057222991
isogroup10115,-0.340293894396527
isogroup10116,-1.31943179919456
isogroup10117,0.23334324120888
isogroup10118,-0.255546128014679
isogroup10119,0.0552810780926399
isogroup1012,-5.1023505004392
isogroup10120,0.629887958706847
isogroup10121,-0.110820917133049
isogroup10122,-0.0575542458853408
isogroup10123,-0.0507583141533202
isogroup10124,-0.283462821015327
isogroup10125,0.137617269127137
isogroup10126,0.486081026441557
isogroup10127,-0.0659902166787196
isogroup10129,0.0636050580090637
isogroup1013,0.06217347539369
isogroup10130,0.711176527194098
isogroup10132,-0.204190353503755
isogroup10133,0.840885032848999
isogroup10134,0.221590751415605
isogroup10136,-0.0558491619063529
isogroup10137,-0.100855456937798
isogroup10138,-0.239884846985829
isogroup10139,0.525561121122394
isogroup1014,-0.325090145542122
isogroup10140,0.195946172726817
isogroup10141,0.113309386842773
isogroup10142,0.141245198134177
isogroup10143,0.746054372833375
isogroup10144,-0.156950836531329
isogroup10145,-0.0530394962664654
isogroup10146,0.21735802723803
isogroup10147,-0.490345869242418
isogroup10148,-0.391533741463373
isogroup10149,0.654579547842499
isogroup1015,-0.314619748119099
isogroup10150,0.338294993534864
isogroup10151,0.00333595850315762
isogroup10152,0.494370974826923
isogroup10153,0.50156709247848
isogroup10154,1.82467616294248
isogroup10155,1.02233928005116
isogroup10156,-0.670275303757813
isogroup10157,-0.0668825116278959
isogroup10158,0.0222173612552608
isogroup1016,0.106907098537683
isogroup10160,1.16636723718821
isogroup10161,-0.76577520524687
isogroup10162,-0.334081929717445
isogroup10164,-0.00909026842967225
isogroup10165,-1.18058966128206
isogroup10167,-0.299323236034752
isogroup10168,0.910001785814751
isogroup10169,0.0299836446730525
isogroup1017,-0.827617001069049
isogroup10170,0.619214232673731
isogroup10171,0.103608324176236
isogroup10172,-0.95326085457553
isogroup10175,0.952201091904289
isogroup10176,-0.143339498265138
isogroup10177,0.403028793308807
isogroup10178,0.210126613198617
isogroup10179,0.179383943558301
isogroup1018,-1.01502116786986
isogroup10180,0.0943675266727317
isogroup10181,0.135898322072058
isogroup10182,-0.109276320301665
isogroup10183,-0.518047818995726
isogroup10184,-0.679059703136063
isogroup10185,-1.47989230991828
isogroup10186,-0.103675122170118
isogroup10187,0.312812349882155
isogroup10188,0.341371918363225
isogroup10189,-0.123161981732759
isogroup1019,0.29871700655077
isogroup10190,-0.164457853967861
isogroup10191,-0.114807158362884
isogroup10192,0.192995772806582
isogroup10193,-0.170033241817734
isogroup10194,-0.00921472165018449
isogroup10195,1.83986419273295
isogroup10197,-0.798298575902237
isogroup10198,0.164286510782101
isogroup102,-0.976033939171159
isogroup1020,-0.126421448746118
isogroup10200,0.329126072685678
isogroup10201,-0.995973109222056
isogroup10202,0.117660645460046
isogroup10203,-0.247936053483956
isogroup10204,0.680197698952974
isogroup10205,1.4069771616644
isogroup10206,-0.211046983736949
isogroup10207,0.0277547669807423
isogroup10208,1.41748579836895
isogroup1021,0.347106389049667
isogroup10210,-0.00467602481041289
isogroup10211,-2.06429881191776
isogroup10212,-0.088313984520923
isogroup10213,1.00080793857839
isogroup10214,-0.356804650004169
isogroup10215,-1.76478125355805
isogroup10217,0.16067291163809
isogroup10218,-3.62265777728971
isogroup10219,0.00855172521839452
isogroup1022,0.381399717875825
isogroup10220,0.60440065246313
isogroup10221,0.76955974093496
isogroup10222,1.20229085098261
isogroup10223,-0.290677919428588
isogroup10224,2.10290270454377
isogroup10225,0.293149761884397
isogroup10226,-1.41754240318376
isogroup10227,-1.35348469695536
isogroup10228,-0.0533268689360608
isogroup10229,0.827498828682384
isogroup1023,-0.0717210492351719
isogroup10230,0.0698492598683429
isogroup10231,-0.555898549564695
isogroup10232,1.25465665240442
isogroup10234,0.540570108591509
isogroup10235,0.0443272207468085
isogroup10236,0.415064015363734
isogroup10237,0.220386043648121
isogroup10238,0.186266951231116
isogroup10239,-0.137192181621274
isogroup1024,0.115180837366512
isogroup10240,-0.322773402712276
isogroup10241,0.031254795639988
isogroup10242,0.630353958552671
isogroup10243,-0.499468164867845
isogroup10245,0.423410727457919
isogroup10246,-0.702663724732692
isogroup10247,-0.108153017732202
isogroup10248,0.676340519356693
isogroup10249,0.0313388953224654
isogroup1025,-0.0604564234226373
isogroup10250,-0.0613642337762977
isogroup10251,-0.0360383439415863
isogroup10252,0.0900681169825251
isogroup10253,0.632330202005127
isogroup10254,1.41016798911663
isogroup10255,-0.397325791031632
isogroup10256,0.0491416788315474
isogroup10257,0.0129080104449119
isogroup10258,-0.116732735961233
isogroup10259,0.527054627721986
isogroup1026,-0.629174425011102
isogroup10260,0.232988861400909
isogroup10261,0.234818401657109
isogroup10262,0.231940484995205
isogroup10263,0.253932158425457
isogroup10266,0.0669233102691641
isogroup10267,0.609194177264402
isogroup10268,-0.00279140349940077
isogroup10269,-1.92885289315111
isogroup1027,0.106256786714007
isogroup10270,-0.328787097267622
isogroup10273,0.0502693369816389
isogroup10274,0.111496209672774
isogroup10275,-1.15521176594299
isogroup10277,0.0181149588718471
isogroup10278,-0.809013799625522
isogroup1028,-3.56595302404084
isogroup10280,-0.200181785725899
isogroup10281,0.361474716197965
isogroup10282,0.387251140500007
isogroup10283,0.668856869251108
isogroup10284,0.119493775337306
isogroup10285,0.157711040304734
isogroup10287,-0.577361161625794
isogroup10288,-0.0378168340753905
isogroup10289,-0.0453783714906164
isogroup1029,-2.23025112537075
isogroup10290,0.456316009448275
isogroup10292,4.6686157431302
isogroup10293,0.311752525359391
isogroup10294,-0.428066989083173
isogroup10295,-0.152468306186278
isogroup10296,0.435047951667953
isogroup10297,0.360349341218788
isogroup10298,-0.199340466305677
isogroup10299,0.0421966577057046
isogroup103,0.296694510058813
isogroup1030,0.315579740088414
isogroup10300,1.65981480628744
isogroup10301,1.11884107566179
isogroup10302,0.0772834352929735
isogroup10303,0.824877577823966
isogroup10304,-0.299014045993472
isogroup10305,-0.901258179252654
isogroup10306,1.241430841602
isogroup10307,0.41216178614834
isogroup10308,-0.0432824902438838
isogroup10309,-0.0218433665421915
isogroup1031,-1.49564059921902
isogroup10310,0.404615775699229
isogroup10311,0.0656005800047775
isogroup10312,-0.432946740170593
isogroup10313,-0.30154958550096
isogroup10314,0.206768109882403
isogroup10315,2.56521098789174
isogroup10316,0.48429112799345
isogroup10317,1.00288218217804
isogroup10318,0.276311672180516
isogroup10319,0.17427985670173
isogroup1032,-0.236288609883375
isogroup10320,0.467664410176631
isogroup10321,0.814544654839603
isogroup10322,-0.918435772990278
isogroup10323,0.313250495197906
isogroup10324,-0.0797871931214792
isogroup10325,-0.939267581840703
isogroup10326,-0.181640064632542
isogroup10327,-0.051447184395688
isogroup10328,-0.62594571249597
isogroup10329,0.153997676502302
isogroup1033,-1.08522594193762
isogroup10330,-0.578463456524295
isogroup10332,0.682623756650594
isogroup10333,0.283951666203101
isogroup10334,0.0794963032984656
isogroup10335,0.244475556423503
isogroup10336,-0.0706676380254411
isogroup10337,-0.582666981430678
isogroup10338,-0.294016569817881
isogroup10339,-0.174430776187492
isogroup1034,-0.859808544601885
isogroup10340,-0.469647973259967
isogroup10341,-0.0038222924532402
isogroup10342,-0.21481350872513
isogroup10343,0.0479102638572659
isogroup10344,0.188310723714196
isogroup10346,1.28215833122683
isogroup10347,-0.547056551843142
isogroup10348,0.129108223325563
isogroup10349,1.125879616411
isogroup1035,0.0428243893124259
isogroup10350,3.4605513672168
isogroup10351,0.317040281639499
isogroup10352,-0.24238854996645
isogroup10353,-2.15088897179931
isogroup10355,-0.27346241340207
isogroup10356,-0.0255309697235842
isogroup10357,-0.360013967169031
isogroup10358,-0.274773647653198
isogroup10359,0.0601948703034852
isogroup1036,-1.33046188625797
isogroup10360,-0.483009857990975
isogroup10361,-0.315043484749844
isogroup10362,1.79963023354758
isogroup10363,0.725677763742895
isogroup10364,0.691203138172115
isogroup10365,-1.48928052789337
isogroup10366,0.168268620383461
isogroup10367,1.01419873299879
isogroup10368,0.58707619298677
isogroup10369,0.631665111274551
isogroup1037,-0.816519205650295
isogroup10370,-0.325623261538944
isogroup10371,-1.26232730820099
isogroup10372,0.0527016246596775
isogroup10373,0.158984859600839
isogroup10374,-0.318546188613388
isogroup10376,0.552367222793795
isogroup10377,0.0689568946470855
isogroup10379,-2.46538696054174
isogroup1038,0.0307593920801101
isogroup10380,2.09470169065175
isogroup10382,0.00454585067956022
isogroup10383,0.437640881374387
isogroup10384,0.213913813252621
isogroup10385,-0.855288916697122
isogroup10386,0.384130630597604
isogroup10387,-0.293583986860369
isogroup10388,0.747880996894017
isogroup10389,-0.0189494292555165
isogroup1039,-0.646581567987371
isogroup10390,0.0027350315875341
isogroup10391,0.0149821556066488
isogroup10393,-0.231952138066769
isogroup10394,1.98277308479292
isogroup10395,-0.0786135008880833
isogroup10396,-0.832301141241664
isogroup10397,-0.703798848604168
isogroup10398,-0.396274452961928
isogroup10399,0.135852557129778
isogroup104,-0.297729426075889
isogroup1040,-0.604459212393726
isogroup10400,-0.074657886079494
isogroup10401,0.591310951257725
isogroup10402,-0.228469680621116
isogroup10403,0.909671511794163
isogroup10404,0.36301082630417
isogroup10405,0.264453011857019
isogroup10406,-0.563854720778387
isogroup10407,-0.987660899881818
isogroup10408,0.282343484021195
isogroup10409,0.262640453896679
isogroup1041,0.858933248774002
isogroup10410,0.592749136248099
isogroup10411,1.7543500094529
isogroup10412,-0.496448408525872
isogroup10413,-0.322523663913635
isogroup10414,-0.913706757833294
isogroup10415,0.0290081665206984
isogroup10416,-0.587348279433292
isogroup10417,-0.562161212995035
isogroup10418,-0.124201100437456
isogroup10419,0.180077919794457
isogroup1042,-0.759536470745604
isogroup10420,-1.10285021613228
isogroup10421,0.808514512899573
isogroup10422,0.623830214419834
isogroup10424,-0.659260324531217
isogroup10425,0.127255931325923
isogroup10426,-0.800261544174232
isogroup10427,0.492307370071319
isogroup10428,-0.225766451715714
isogroup1043,-0.954728059728786
isogroup10430,-1.11449663999143
isogroup10431,-0.0392631150359371
isogroup10432,-0.451759599010036
isogroup10433,0.885508146939898
isogroup10434,0.621849397564657
isogroup10435,0.103045140060761
isogroup10436,-0.0430252992165815
isogroup10437,0.225164459152374
isogroup10438,-1.94135038380128
isogroup10439,0.573061459615628
isogroup1044,-1.48157498609188
isogroup10440,0.685815614592205
isogroup10441,0.375228226817705
isogroup10442,0.51309219567542
isogroup10443,0.305407221133426
isogroup10444,0.0906099660660616
isogroup10445,-0.75183987149432
isogroup10446,-0.170605781599087
isogroup10447,0.139236695498448
isogroup10448,-0.0288133140106793
isogroup10449,-0.796312371938279
isogroup10450,-0.978354986888535
isogroup10451,0.0650437273201613
isogroup10452,-0.022143485745437
isogroup10453,1.1601890866495
isogroup10454,1.40284876649522
isogroup10455,-0.0703096891505462
isogroup10456,0.0382238208565191
isogroup10457,0.400040017670669
isogroup10458,0.00876413769300426
isogroup10459,1.01710427498204
isogroup1046,0.140240877070235
isogroup10460,0.545460843232556
isogroup10461,-0.167542738753378
isogroup10462,-0.14713782589823
isogroup10463,0.688296372237002
isogroup10464,-0.0998284762174282
isogroup10465,-1.09222721587767
isogroup10466,-0.19483761866114
isogroup10467,-0.303610088798484
isogroup10468,0.137165759244456
isogroup10469,-0.118835594951574
isogroup1047,-0.818900961108315
isogroup10471,0.373381204394118
isogroup10473,0.185517491544282
isogroup10474,0.201352789848303
isogroup10475,-0.468950391860527
isogroup10476,-1.91747880320127
isogroup10477,-0.333101970105434
isogroup10478,0.292868549293257
isogroup10479,-0.632525951241863
isogroup1048,-0.156083616787828
isogroup10480,0.0860311881482395
isogroup10482,-0.968390577800258
isogroup10483,-0.141881168816732
isogroup10484,-0.0165832575160591
isogroup10485,-0.668266821663756
isogroup10487,-0.716143351130682
isogroup10488,-0.68104241747747
isogroup10489,-2.24427855476492
isogroup1049,0.0470992644832638
isogroup10491,0.669594168148348
isogroup10493,0.359135314187839
isogroup10495,-0.17493976598739
isogroup10496,-0.294820491552774
isogroup10497,-1.38012259762386
isogroup10498,0.0529370118559797
isogroup10499,0.0990460464364306
isogroup105,-0.00945566987841603
isogroup1050,0.0802036280213858
isogroup10501,-3.49488647960216
isogroup10502,-0.699547525135405
isogroup10503,-0.950758359407537
isogroup10504,0.228161173433067
isogroup10505,-0.195704938632826
isogroup10506,1.59169187410007
isogroup10507,-0.962693387764797
isogroup10508,0.00366691285196111
isogroup1051,-0.440365178839624
isogroup10510,-1.64673233194826
isogroup10512,-0.088402085194339
isogroup10513,-0.0283180912188252
isogroup10515,0.0414359888435632
isogroup10516,0.147790438480729
isogroup10517,-0.00724114701759447
isogroup10518,1.00283993197963
isogroup10519,-0.482982145803804
isogroup1052,-0.864681379385075
isogroup10521,0.0777771252907704
isogroup10522,0.446440821795783
isogroup10523,-0.565107611399841
isogroup10524,0.148017368526128
isogroup10525,-0.148093610761919
isogroup10526,0.249254672586245
isogroup10527,-0.944270571231573
isogroup10528,-0.0417374165297542
isogroup10529,0.00696596153269795
isogroup1053,1.84180527423774
isogroup10531,-0.546027322984496
isogroup10532,-0.268788404096048
isogroup10533,0.740460465351241
isogroup10534,-0.188019846417389
isogroup10535,-0.363761423815476
isogroup10536,0.0553270319100139
isogroup10537,0.0876776215525952
isogroup10538,1.23597673963392
isogroup10539,-2.27296889140764
isogroup1054,-0.416542175259517
isogroup10540,0.136460448420465
isogroup10542,0.0307533115564123
isogroup10543,0.813160060026132
isogroup10544,-0.6531297769244
isogroup10545,0.1317099605377
isogroup10546,-1.39527911970841
isogroup10547,0.319224327137655
isogroup10548,-0.174046064828364
isogroup10549,0.297840894594127
isogroup1055,0.439379861602146
isogroup10550,0.137811214066693
isogroup10551,-0.20855435002947
isogroup10552,0.914206133875454
isogroup10553,0.417041699767019
isogroup10554,-2.01844453125362
isogroup10555,0.289735426173429
isogroup10557,-0.074571294089733
isogroup10558,0.875123784976501
isogroup1056,0.113087549911117
isogroup10560,0.0206646471860927
isogroup10561,0.540938292697353
isogroup10563,-0.359775692909083
isogroup10564,-0.264143236809696
isogroup10565,0.122234710381111
isogroup10566,-0.0992582397794119
isogroup10567,-1.42264247684309
isogroup10568,0.185071810701232
isogroup10569,0.125743518361702
isogroup1057,0.168074005800796
isogroup10573,-4.61804056407674
isogroup10574,0.253267116736039
isogroup10575,-0.158550180472771
isogroup10576,0.153045607995205
isogroup10577,-0.0165886049788226
isogroup10578,-2.31864826361354
isogroup10579,-0.225035259315532
isogroup1058,-1.0256615532529
isogroup10580,-0.64023612067149
isogroup10581,1.34475195389369
isogroup10582,-1.60075017357589
isogroup10583,1.93199594663695
isogroup10584,0.0488784442271427
isogroup10585,0.526572612325925
isogroup10586,1.53670904286621
isogroup10587,-0.788055968640542
isogroup10588,1.90393215891195
isogroup10589,-0.278275986794827
isogroup1059,-1.18612026838491
isogroup10590,-0.0720595888580641
isogroup10591,0.0408786966927409
isogroup10592,-0.350325735150671
isogroup10593,-0.687623490775408
isogroup10594,-0.199949215921203
isogroup10595,-0.141809947476543
isogroup10596,0.133062194198798
isogroup10597,-0.533164687549683
isogroup10598,0.564564993339759
isogroup106,-0.303615162086493
isogroup1060,-1.28410034143175
isogroup10600,-0.0803771360319143
isogroup10602,-0.851847909681988
isogroup10603,0.0289734445644845
isogroup10604,-0.135930047896012
isogroup10605,0.018877033984322
isogroup10607,0.249220766771915
isogroup10608,0.232475931370757
isogroup10609,-0.533449755437213
isogroup1061,-2.12392460237251
isogroup10610,-0.0692142632481496
isogroup10611,-0.00651354769044146
isogroup10612,-0.410911199761303
isogroup10613,-0.165277209334713
isogroup10615,2.64380239125109
isogroup10616,0.0557841118395681
isogroup10617,-0.332644834217746
isogroup10618,0.0934799712820657
isogroup10619,-0.12688194079592
isogroup1062,0.561497113944375
isogroup10620,-1.1730458637746
isogroup10621,0.0850089654762665
isogroup10624,-0.18221351648292
isogroup10625,0.0920041331637812
isogroup10626,0.174848078498629
isogroup10627,-0.321357289912135
isogroup10628,-0.683244188580692
isogroup10629,0.539503407542623
isogroup1063,-0.109683283728351
isogroup10630,0.116227428346631
isogroup10631,0.696325901098072
isogroup10632,-0.153875258708106
isogroup10633,0.213316886171915
isogroup10634,-0.41042759007483
isogroup10635,-0.84054700285856
isogroup10636,-0.313164257638361
isogroup10637,-0.0367011389788591
isogroup10638,0.0828281286364745
isogroup10639,-0.0293589235494049
isogroup1064,-1.25560623508748
isogroup10640,-0.236267178809826
isogroup10641,-0.733692224224819
isogroup10642,0.27850309449535
isogroup10643,1.0927677764227
isogroup10644,-0.893256825770614
isogroup10645,-0.110133294668517
isogroup10646,0.122670211584289
isogroup10647,-0.0129749195773271
isogroup10648,1.65092183043682
isogroup10649,0.369725921952002
isogroup1065,0.707345843773523
isogroup10650,-0.181508384533111
isogroup10651,0.628151052330232
isogroup10652,-0.744280689931514
isogroup10653,0.314915585991533
isogroup10655,-0.463638232953966
isogroup10656,0.203044328263106
isogroup10657,0.00762543707978601
isogroup10658,-0.0376422997808249
isogroup10659,-0.334602409980699
isogroup1066,-0.0344009950974689
isogroup10660,-0.462341969086503
isogroup10661,1.46229758381951
isogroup10662,0.852609880297209
isogroup10663,-0.451203264411393
isogroup10665,0.0956215645836126
isogroup10666,0.380704957069576
isogroup10667,0.855982734206833
isogroup10668,0.31837946592715
isogroup1067,-1.19001156535592
isogroup10671,0.814523023199227
isogroup10672,0.845715593517433
isogroup10673,0.740263710331428
isogroup10674,-0.110403217105761
isogroup10675,0.0363815157289364
isogroup10676,0.0183666340202455
isogroup10677,-1.10327207646304
isogroup10678,0.0467520207685245
isogroup10679,-0.344586379932078
isogroup1068,-1.36015939899344
isogroup10680,-0.154394979276596
isogroup10681,0.389598929466934
isogroup10682,0.143854082527388
isogroup10683,-0.798509933469737
isogroup10684,-1.03073950314519
isogroup10685,-3.21288023607169
isogroup10686,-1.2047993765352
isogroup10687,-0.133025514797172
isogroup10688,0.0738759668136978
isogroup1069,0.322178606931398
isogroup10690,-0.232291414733791
isogroup10691,-0.181574644571108
isogroup10692,0.0543088899939032
isogroup10693,-1.11581949652948
isogroup10695,0.28123974537805
isogroup10696,-0.705209037262587
isogroup10697,0.235267816736321
isogroup10698,0.543485915448513
isogroup10699,-0.0616015177737553
isogroup107,0.471370110186756
isogroup1070,-0.905921553708006
isogroup10700,0.40169794632557
isogroup10701,-0.52097848704646
isogroup10702,0.775147204261942
isogroup10703,-0.82977450633791
isogroup10705,0.66903861930222
isogroup10706,0.210890682230107
isogroup10707,0.0515140873783135
isogroup10708,-0.280308899796479
isogroup10709,1.19609887283559
isogroup1071,-0.359219781946656
isogroup10710,-0.631669478457404
isogroup10711,0.0724172351910952
isogroup10712,-1.35261832776394
isogroup10713,-0.312504919354119
isogroup10714,0.488479410025831
isogroup10715,0.196548174348687
isogroup10716,-0.868981560953795
isogroup10717,-0.149063330590506
isogroup10718,-0.955557595145312
isogroup10719,-0.366329156140956
isogroup1072,-1.32039566228391
isogroup10720,0.384062269952315
isogroup10721,-0.0642093412005322
isogroup10722,-1.02666638688143
isogroup10723,-0.220444037579464
isogroup10724,-0.0815456533319084
isogroup10725,0.674763447977177
isogroup10726,-0.0305021282031927
isogroup10727,-1.05720650957345
isogroup10728,0.637891388627029
isogroup10729,0.759657402215653
isogroup1073,-0.50538400504769
isogroup10731,-0.00710295038825674
isogroup10732,-0.0543185903891492
isogroup10734,-1.32246309900503
isogroup10736,-0.580728292162903
isogroup10737,-0.104271971329967
isogroup10738,0.0180645070052948
isogroup10739,-0.030318339677458
isogroup10740,0.0784962572183817
isogroup10741,0.377873887061578
isogroup10742,0.292288100532473
isogroup10743,-0.250191267991884
isogroup10744,0.254007287386023
isogroup10745,-0.113636260920097
isogroup10746,-0.122958433829901
isogroup10748,0.258625847945485
isogroup10749,1.16332129429821
isogroup1075,-0.212059959252744
isogroup10750,0.449276594910065
isogroup10751,-0.204848678358373
isogroup10752,-0.135322529056297
isogroup10753,-0.0916128548007495
isogroup10754,0.101597249634743
isogroup10756,-0.133870942795099
isogroup10757,-0.094129279148684
isogroup10758,-1.00353234833114
isogroup10759,-1.71167806672664
isogroup1076,-1.92841648181773
isogroup10760,-0.14310636111326
isogroup10761,0.51541315317364
isogroup10762,-0.0501397180961212
isogroup10763,-1.72922828620698
isogroup10764,0.616695341407194
isogroup10765,-0.302573242171604
isogroup10766,0.347861051041212
isogroup10767,-0.18630699634907
isogroup10768,0.304186526617907
isogroup10769,-0.222492320813793
isogroup1077,2.2126499002203
isogroup10771,1.26125628492801
isogroup10773,0.709238707346563
isogroup10774,-0.0864357465047128
isogroup10775,0.0874998790534972
isogroup10776,-2.0853932230615
isogroup10778,-0.063672740924464
isogroup10779,-0.0478510509347883
isogroup1078,-1.55840140758887
isogroup10781,-0.364786658639112
isogroup10782,0.284842630547471
isogroup10783,-0.572160607700067
isogroup10784,-1.66084322233522
isogroup10785,-0.980686847703203
isogroup10786,0.433603387648125
isogroup10787,-0.0085493613584404
isogroup10788,0.244316100720485
isogroup10789,0.262891280820664
isogroup1079,0.0550539084930913
isogroup10790,0.478119331500213
isogroup10791,0.730797523314905
isogroup10792,-0.263922215360861
isogroup10793,0.919787285668557
isogroup10794,0.338950940547649
isogroup10795,0.115906792793859
isogroup10796,0.323427197664195
isogroup10798,-0.667850832842946
isogroup10799,0.291010929169666
isogroup108,-2.32506842738279
isogroup1080,-0.203650548604072
isogroup10800,-0.436833182496522
isogroup10801,0.529589284933102
isogroup10802,1.67170763145962
isogroup10803,-0.251381297190679
isogroup10804,0.186878183329837
isogroup10805,-2.44069128856547
isogroup10806,0.526928487959229
isogroup10807,0.304363735019328
isogroup10808,-0.150289465713862
isogroup10809,0.690199552178505
isogroup1081,-1.7820095972398
isogroup10810,0.328670400762363
isogroup10811,-2.67155362594273
isogroup10812,0.217212590114901
isogroup10813,0.13118293334876
isogroup10814,-0.0346499387105573
isogroup10815,-2.6151595973099
isogroup10816,1.25790037106226
isogroup10817,0.687353976479947
isogroup10818,1.14853974020793
isogroup10819,-0.669495937505174
isogroup10821,-0.435991677804169
isogroup10822,-0.0200689518001272
