sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
A4,75782,0.5466350270342415,5.0564854016312576e-05,-3.6503622532063097e-06,-0.0,0.0,0.0
A3-A3t-A3ae-A3ac,76680,-0.10992166761398582,-0.0019168848287428814,0.005378570799403705,-0.0,0.0,0.0
A3-A3t-A3af-A3ae,75883,-0.10899927145103364,-0.002129971234516252,0.004519599968812284,-0.0,0.0,0.0
A3-A3ac-A3ak,75885,-0.1134801018776118,0.010207659634343306,-0.002717575501891409,-0.0,0.0,0.0
A3-A3t-A3al,75886,-0.10907938084220702,-0.008841078808571554,-0.005801717252965178,-0.0,0.0,0.0
A3,75825,-0.10515460524940323,0.002629710383473048,-0.0013752276511071187,-0.0,0.0,0.0
proportion_explained,0,0.9991925746567845,0.0005502700393998287,0.0002571553038156623,0.0,0.0,0.0
