sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
A4,75782,0.825781850275693,-0.002644850220134396,7.776541999121376e-05,-0.000391798916823813,-5.385217263862832e-05,-0.0
A3-A3t-A3ae-A3ac,76680,-0.17168347701413664,-0.06521669746033484,0.010810588561282641,-0.02593970996583277,-0.01954219576544945,-0.0
A3-A3t-A3af-A3ae,75883,-0.17023176479779062,-0.06925883792926758,-0.005127576797734788,-0.05773356275380656,0.014238864930760488,-0.0
A3-A3ac-A3ak,75885,-0.15572352219081306,0.18015454452131643,0.05567244602414588,-0.012258264647926552,5.99027682845991e-06,-0.0
A3-A3t-A3al,75886,-0.16200693867703203,0.024739982286963,-0.1496325212543603,0.032917304204390097,0.0007905890690835214,-0.0
A3,75825,-0.1661361475959204,-0.06777414119854298,0.08819929804667555,0.06340603207999997,0.004560603661414828,-0.0
proportion_explained,0,0.9009359277337997,0.0514253820177202,0.03677815523519143,0.010193397532748448,0.0006671374805402064,0.0
