gene_id,log2fold
comp0_c0_seq1,0.121588227656159
comp1_c0_seq1,0.089089073448226
comp10_c0_seq1,-0.03177894076527
comp100_c0_seq1,0.00812468616897771
comp1000_c0_seq1,-0.0890401123584899
comp10001_c0_seq1,0.069077228515874
comp10002_c0_seq1,-0.0067242900752274
comp10003_c0_seq1,0.0776627182933359
comp10004_c0_seq1,0.0540130194522463
comp10006_c0_seq1,0.175448333878708
comp10007_c0_seq1,0.00127270123078347
comp10008_c0_seq1,0.0530449005803548
comp10009_c0_seq1,0.504296047611085
comp1001_c0_seq1,0.427912517960288
comp10010_c0_seq1,0.454669024631677
comp10011_c0_seq1,-0.0259400509240639
comp10012_c0_seq1,-0.0712353571816181
comp10013_c0_seq1,0.00917154797010446
comp10014_c0_seq1,-0.00245651473642112
comp10015_c0_seq1,0.00851608363453059
comp10016_c0_seq1,0.0299301052736328
comp10017_c0_seq1,-0.00761219324823029
comp10018_c0_seq1,-0.347732500266357
comp10019_c0_seq1,0.246877359634789
comp10020_c0_seq1,0.162744448637584
comp10021_c0_seq1,0.0162564956898151
comp10022_c0_seq1,-0.459298028506263
comp10023_c0_seq1,0.0929240129724141
comp10024_c0_seq1,-0.032229512447142
comp10025_c0_seq1,0.0207614156819243
comp10026_c0_seq1,0.114471497652001
comp10029_c0_seq1,0.00528901504737456
comp10030_c0_seq1,0.422262396999744
comp10031_c0_seq1,0.00682404896138655
comp10032_c0_seq1,-0.763212314768322
comp10034_c0_seq1,-0.143969050196782
comp10035_c0_seq1,0.0676417850626614
comp10036_c0_seq1,-0.0943419303712976
comp10037_c0_seq1,-0.0234054451526448
comp1004_c0_seq1,0.126196852938026
comp10040_c0_seq1,-0.0648939125877752
comp10041_c0_seq1,-0.0324939728544842
comp10042_c0_seq1,-0.137127002448393
comp10045_c0_seq1,-0.011005295607062
comp10047_c0_seq1,-0.145629732270238
comp10048_c0_seq1,-0.115931462052285
comp10049_c0_seq1,-0.383342317392736
comp1005_c0_seq1,-0.0779154460744361
comp10050_c0_seq1,0.0235811119427102
comp10051_c0_seq1,0.0429723731407711
comp10053_c0_seq1,-0.213613017331121
comp10054_c0_seq1,0.225489301422366
comp10055_c0_seq1,-0.877408806590299
comp10058_c0_seq1,-0.00773601594935619
comp10059_c0_seq1,0.0792709165276865
comp1006_c0_seq1,-0.177773987041223
comp10060_c0_seq1,-0.00849992520150256
comp10061_c0_seq1,-0.0212921829720647
comp10062_c0_seq1,-0.43053754456862
comp10064_c0_seq1,-0.292045240946433
comp10065_c0_seq1,-0.0116949392071289
comp10067_c0_seq1,0.00449510198074627
comp10068_c0_seq1,-0.00940674989489693
comp10069_c0_seq1,-0.0654635851267053
comp10070_c0_seq1,-0.00272259313703544
comp10071_c0_seq1,-0.00388856517206741
comp10072_c0_seq1,0.0617820741546938
comp10073_c0_seq1,0.274675860325184
comp10075_c0_seq1,-0.102553884768667
comp10078_c0_seq1,-0.0896333828864697
comp10079_c0_seq1,-0.0835445935849556
comp1008_c0_seq1,-0.168662923394748
comp10080_c0_seq1,0.100618981182264
comp10081_c0_seq1,0.042422305464467
comp10082_c0_seq1,-0.112111659661148
comp10083_c0_seq1,0.211198442536541
comp10086_c0_seq1,0.326347589137984
comp10087_c0_seq1,-0.27046683744463
comp10088_c0_seq1,0.511465872660228
comp10089_c0_seq1,-0.000422556719952163
comp1009_c0_seq1,0.000238091949008367
comp10090_c0_seq1,-0.0674662705391633
comp10092_c0_seq1,-0.453683839043762
comp10094_c0_seq1,-0.145106194351738
comp10095_c0_seq1,0.010253149225761
comp10097_c0_seq1,-0.00107955085158724
comp10098_c0_seq1,-0.296020584333144
comp101_c0_seq1,-0.161071954130682
comp10102_c0_seq1,-0.275878610164974
comp10104_c0_seq1,-0.59989217757954
comp10105_c0_seq1,-0.113089073554978
comp10107_c0_seq1,0.0386289819350839
comp1011_c0_seq1,-0.0715829239509364
comp10110_c0_seq1,-0.0972221299621487
comp10112_c0_seq1,-0.0959525720768373
comp10114_c0_seq1,0.148338640701976
comp10115_c0_seq1,0.380840140200386
comp10117_c0_seq1,-0.0786320886045154
comp10118_c0_seq1,-0.0866412108854442
comp10119_c0_seq1,0.0417376429889726
comp10120_c0_seq1,-0.0345056426700324
comp10121_c0_seq1,-0.0365569639700584
comp10122_c0_seq1,-0.0278274937358878
comp10123_c0_seq1,-0.476119306145225
comp10125_c0_seq1,0.28919732932221
comp10126_c0_seq1,0.0427031467452933
comp10127_c0_seq1,1.18170843839456
comp10129_c0_seq1,0.0993621470153339
comp1013_c0_seq1,-0.189205285902332
comp10130_c0_seq1,-0.0476071405747415
comp10132_c0_seq1,-0.00339163075620594
comp10133_c0_seq1,-0.081348254545948
comp10134_c0_seq1,-0.00271619235721966
comp10138_c0_seq1,0.0467505163491901
comp10139_c0_seq1,0.325858418553799
comp1014_c0_seq1,-0.0817730307203373
comp10140_c0_seq1,-0.0154698880303711
comp10141_c0_seq1,-0.203959190905105
