gene,diff
comp0_c0_seq1,0.362270575286415
comp1_c0_seq1,0.26190114764268
comp10_c0_seq1,-0.194520461538461
comp100_c0_seq1,0.416722717948716
comp1000_c0_seq1,-0.0940827558898665
comp10001_c0_seq1,0.0638037206095792
comp10002_c0_seq1,-0.0176990099547512
comp10003_c0_seq1,0.0688236097215669
comp10004_c0_seq1,0.226697444444444
comp10006_c0_seq1,0.729045294559099
comp10007_c0_seq1,0.0828619615384554
comp10008_c0_seq1,2.21805687692308
comp10009_c0_seq1,0.317811027472528
comp1001_c0_seq1,0.388799090909091
comp10010_c0_seq1,0.37570842081448
comp10011_c0_seq1,-0.106370493131868
comp10012_c0_seq1,-0.618027012820514
comp10013_c0_seq1,0.541148211538456
comp10014_c0_seq1,-0.0056132241413942
comp10015_c0_seq1,0.408110449704139
comp10016_c0_seq1,0.632915237879768
comp10017_c0_seq1,-0.440007432145094
comp10018_c0_seq1,-0.322848224194609
comp10019_c0_seq1,0.220759557692308
comp10020_c0_seq1,5.39901461538462
comp10021_c0_seq1,0.188162581885855
comp10022_c0_seq1,-0.291194307692308
comp10023_c0_seq1,0.125604512379512
comp10024_c0_seq1,-0.0221129846153846
comp10025_c0_seq1,0.468172256410256
comp10026_c0_seq1,5.00418807692308
comp10029_c0_seq1,0.358480269230768
comp10030_c0_seq1,0.299793933566433
comp10031_c0_seq1,0.055970185520362
comp10032_c0_seq1,-0.726058173076923
comp10034_c0_seq1,-0.107854514979757
comp10035_c0_seq1,1.92887651282052
comp10036_c0_seq1,-0.0844281564463707
comp10037_c0_seq1,-0.708377959164295
comp1004_c0_seq1,0.0787166861538461
comp10040_c0_seq1,-4.26269915384616
comp10041_c0_seq1,-1.0592467948718
comp10042_c0_seq1,-0.171401700992556
comp10045_c0_seq1,-0.0594710508361205
comp10047_c0_seq1,-0.104835485714286
comp10048_c0_seq1,-0.0762883173076923
comp10049_c0_seq1,-0.267394678388278
comp1005_c0_seq1,-4.37514407692308
comp10050_c0_seq1,1.53327203846153
comp10051_c0_seq1,0.259269246153846
