sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
109452	ITS008	1.241127869133724	1.0417079957750481	0.010685696822171346	1.0417079957750481	0.010685696822171346	0.0	0.0	0.0	0.0	1.0	8.578582496474739e-05	0.07981298690157684	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.61099200	-65.24136000	2019-04-28	15
109469	ITS_016	1.7781623163901512	1.0591778505759273	0.030751347352847933	1.059098594526049	0.030724928669555108	7.925604987847406e-05	2.6418683292824686e-05	0.0	0.0	1.0	0.00031702419951389624	0.02768678009088027	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.32790800	-65.33171500	2019-04-28	15
109456	ITS012	1.2101859337105902	1.0446779843707896	0.015988502649779933	1.0446779843707896	0.015988502649779933	0.0	0.0	0.0	0.0	1.0	0.00019761070690739243	0.02956974759723345	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.54438400	-65.26262000	2019-04-28	5
109457	ITS013	1.1855303762351548	1.039003949823438	0.010442317882859013	1.039003949823438	0.010442317882859013	0.0	0.0	0.0	0.0	1.0	5.343616827049388e-05	0.03130914159248688	1.781205609016463e-05	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.52773200	-65.26793500	2019-04-28	15
109458	ITS014	1.209476404709486	1.0473884049647426	0.013432883443412782	1.0466545419737723	0.013420120608787212	0.0007338629909702945	1.276283462557034e-05	0.0	0.0	1.0	7.019559044063687e-05	0.03494464120481159	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.51108000	-65.27325000	2019-04-28	5
109465	ITS021	1.1997888857124008	1.0419534668924417	0.013073692081015107	1.0419534668924417	0.013073692081015107	0.0	0.0	0.0	0.0	1.0	6.047544696853078e-05	0.11353990279946342	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.39451600	-65.31045500	2019-04-28	5
109470	ITS_025	1.7294064143631114	1.0532091588563293	0.03236841064578637	1.0532091588563293	0.03236841064578637	0.0	0.0	0.0	0.0	1.0	0.00023727607070826907	0.1335271087910784	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.31125600	-65.33703000	2019-04-28	15
109459	ITS015	1.1771033364190684	1.0359194852688032	0.012493401372514517	1.0359194852688032	0.012493401372514517	0.0	0.0	0.0	0.0	1.0	5.355407814305059e-05	0.0096626858135247	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.49442800	-65.27856500	2019-04-28	5
109460	ITS016	1.2659329743294818	1.0317875254875306	0.01790662414388038	1.0317875254875306	0.01790662414388038	0.0	0.0	0.0	0.0	1.0	0.00023526951429915825	0.017331520886704657	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.47777600	-65.28388000	2019-04-28	15
109464	ITS020	1.4244892127446778	1.0234319188455494	0.024146306615230748	1.0234319188455494	0.024146306615230748	0.0	0.0	0.0	0.0	1.0	0.0012858979854264896	0.03957708244034862	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.41116800	-65.30514000	2019-04-28	15
109463	ITS019	1.2086634289341804	1.0507233287055435	0.012396971464256775	1.0507233287055435	0.012396971464256775	0.0	0.0	0.0	0.0	1.0	5.161103856892912e-05	0.06159261342816002	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.42782000	-65.29982500	2019-04-28	5
109455	ITS011	1.159390025937137	1.033862707692678	0.00870789728653014	1.033862707692678	0.00870789728653014	0.0	0.0	0.0	0.0	1.0	4.212528058445818e-05	0.024354430075043176	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.56103600	-65.25730500	2019-04-28	5
