sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A3	A3t	A3ac	A3ae	A3ak	A3af	A3al	A3m	695980_A	33927_A	903851_A	903841_A	22415_A	A4	A3b	903839_A	363624_A	363581_A	364304_A	33881_A	73508_A	903838_A	363677_A	34357_A	529468_A	1150880_A	363573_A	904723_A	50857_A	363698_A	903844_A	363657_A	363585_A	363590_A	903852_A	697372_A	903840_A	364724_A	363172_A	903845_A	363701_A	363646_A	1150882_A	903842_A	364417_A	A3w	823222_A	903846_A	903853_A	363703_A	903854_A	1150883_A	364576_A	363583_A	22426_A	53434_A	1150881_A	364714_A	891954_B	1150877_B	29324_B	B19	B1	1150879_B	B5	1150878_B	C91g	G3b	892101_G
109466	ITS022	1.18279321761814	1.039410053175479	0.011307314136650948	1.039410053175479	0.011307314136650948	0.0	0.0	0.0	0.0	1.0	9.029798334503862e-05	0.03698204073442359	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.37786400	-65.31577000	2019-04-28	15	0.8084177786696097	0.057469649844486805	0.00849804354369419	0.056797431524029295	0	0.026136249623758403	0	0.005698806059997993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027249924751680546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005518210093307916	0	0	0	0	0	0	0.004213905889435136	0	0	0	0	0	0	0	0	0	0	0
109461	ITS017	1.171852632302248	1.030537454620415	0.01103425371339571	1.030537454620415	0.01103425371339571	0.0	0.0	0.0	0.0	1.0	9.16180899918689e-05	0.06713315544154194	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.46112400	-65.28919500	2019-04-28	5	0.7803169985913718	0.03545620082685326	0.005239409521410002	0.040483743515157065	0	0.06486560771424318	0	0.006504884389422692	0	0.006224303988822593	0	0	0.005205052737663051	0	0	0	0	0.005560072836381543	0.008096748703031413	0	0	0	0.01020969090346889	0	0	0	0	0	0.007014510015002463	0.007518409509957741	0	0	0.0058005703226101995	0	0	0	0	0	0	0	0.00608687685383479	0.005416919570769249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109453	ITS009	1.158751937702118	1.034734954729612	0.009543815340529645	1.034734954729612	0.009543815340529645	0.0	0.0	0.0	0.0	1.0	4.452161524420106e-05	0.08083506360519851	8.499581092074747e-05	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.59434000	-65.24667500	2019-04-28	5	0.7569524549623388	0.06141149710002388	0.010276398282275135	0.05211862177268882	0	0.03112060905569654	0	0.007200359410857607	0	0.056016286816340244	0	0	0.012300108066102456	0	0	0	0	0	0	0	0	0	0	0	0.005840426436125648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006678242286630159	0	0	0	0	0	0	0	0	0	8.499581092074747e-05	0	0	0	0	0	0	0	0	0
109451	ITS007	1.1701419698314108	1.0245061411292207	0.013508149255125392	1.0245061411292207	0.013508149255125392	0.0	0.0	0.0	0.0	1.0	0.00017512725914164292	0.07487274085835709	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.62764400	-65.23604500	2019-04-28	5	0.7418507448746089	0.05497828421986643	0.0372904310465605	0.024214262363984496	0	0.05685798346798674	0	0.009935553168635876	0	0	0	0	0.006421332835193574	0	0	0.02619903796758978	0.004728435996824359	0	0	0.00587260075654976	0	0.006164479521785831	0	0	0.007063466118712931	0	0	0	0.005463970485219259	0	0	0	0	0	0	0	0.006888338859571288	0	0.0060710783169102885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109452	ITS008	1.241127869133724	1.0417079957750481	0.010685696822171346	1.0417079957750481	0.010685696822171346	0.0	0.0	0.0	0.0	1.0	8.578582496474739e-05	0.07981298690157684	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.61099200	-65.24136000	2019-04-28	15	0.7341390052061273	0.055932357877015296	0.03693079764732375	0.025054822503766533	0	0.05742288658577778	0	0.010707143278412533	0	0	0	0	0.006074708730316175	0	0	0.022894092037466958	0.0059674764491102405	0.007742170703068452	0.00480936781208615	0.005286551463452558	0	0.005876329010085196	0	0	0.007768978773369935	0	0	0	0	0	0	0	0	0	0	0	0.006830696312818011	0	0.006562615609803175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109469	ITS_016	1.7781623163901512	1.0591778505759273	0.030751347352847933	1.059098594526049	0.030724928669555108	7.925604987847406e-05	2.6418683292824686e-05	0.0	0.0	1.0	0.00031702419951389624	0.02768678009088027	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.32790800	-65.33171500	2019-04-28	15	0.6594631723554898	0.01770051780619254	0.18490436436647997	0	0.08052414667652964	0	0	0.01442460107788228	0.006472577406742048	0	0	0	0	0	0.01009193701785903	0	0	0.005204480608686463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005204480608686463	0	0	0.006683926873084645	0	0	0	0	0.004834619042586918	0.004491176159780196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109456	ITS012	1.2101859337105902	1.0446779843707896	0.015988502649779933	1.0446779843707896	0.015988502649779933	0.0	0.0	0.0	0.0	1.0	0.00019761070690739243	0.02956974759723345	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.54438400	-65.26262000	2019-04-28	5	0.6794933980059283	0.026982843797718495	0.16663971975208838	0	0.059337105901374296	0	0	0.023318063415072306	0.008066109763765383	0	0	0	0.005425312135093865	0	0.014659121530584749	0	0	0	0	0	0	0	0	0	0.004616904697745441	0	0	0.007096020838947274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004365400161681488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109457	ITS013	1.1855303762351548	1.039003949823438	0.010442317882859013	1.039003949823438	0.010442317882859013	0.0	0.0	0.0	0.0	1.0	5.343616827049388e-05	0.03130914159248688	1.781205609016463e-05	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.52773200	-65.26793500	2019-04-28	15	0.6758294851870489	0.02806289437005437	0.1624993877105719	0	0.06260937715692867	0	0	0.024371345745367753	0.009832254961770875	0	0	0	0.005432677107500211	0	0.015300556181451415	0	0	0	0	0	0	0.005486113275770706	0	0	0	0	0	0.00557962657024407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004978469677201013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.781205609016463e-05	0	0	0
109458	ITS014	1.209476404709486	1.0473884049647426	0.013432883443412782	1.0466545419737723	0.013420120608787212	0.0007338629909702945	1.276283462557034e-05	0.0	0.0	1.0	7.019559044063687e-05	0.03494464120481159	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.51108000	-65.27325000	2019-04-28	5	0.634012954277145	0.026616891611626944	0.14004658434638334	0	0.05541622794422641	0	0	0.0203950097316614	0.010931367856800996	0	0	0	0.01336906927028493	0.073667081458792	0.014900609425353371	0	0	0	0	0	0	0	0	0	0	0	0	0.00622188187996554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004422322197760123	0	0	0	0	0	0	0	0	0	0	0	0	0
109465	ITS021	1.1997888857124008	1.0419534668924417	0.013073692081015107	1.0419534668924417	0.013073692081015107	0.0	0.0	0.0	0.0	1.0	6.047544696853078e-05	0.11353990279946342	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.39451600	-65.31045500	2019-04-28	5	0.5495403866030392	0.064758208167484	0.19583599058782133	0	0.05418050271589735	0	0	0.012694346095485233	0.06905196490224969	0	0	0	0	0	0.009450663030809492	0	0	0	0	0	0	0	0	0	0	0	0.024745453345941547	0.004827040221670002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009901479999120357	0	0	0	0	0	0	0	0	0.005013964330481824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109470	ITS_025	1.7294064143631114	1.0532091588563293	0.03236841064578637	1.0532091588563293	0.03236841064578637	0.0	0.0	0.0	0.0	1.0	0.00023727607070826907	0.1335271087910784	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.31125600	-65.33703000	2019-04-28	15	0.5792106616047772	0.09775774113180685	0.13999288171787874	0	0.03715347807173647	0	0	0.007849883339265236	0.07531537944398307	0	0	0	0	0	0	0	0	0.004745521414165382	0	0	0	0	0	0	0	0	0	0	0	0	0.01892276663898446	0	0	0	0	0.013781785106971962	0	0	0	0.012536085735753549	0	0	0	0	0	0.004508245343457113	0	0.008225570451219995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109459	ITS015	1.1771033364190684	1.0359194852688032	0.012493401372514517	1.0359194852688032	0.012493401372514517	0.0	0.0	0.0	0.0	1.0	5.355407814305059e-05	0.0096626858135247	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.49442800	-65.27856500	2019-04-28	5	0.6746207223680083	0.1708375092763314	0.036332616728763895	0	0.010144672516812156	0	0.09124849857316635	0.007153294723393187	0	0	0	0.0096626858135247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109460	ITS016	1.2659329743294818	1.0317875254875306	0.01790662414388038	1.0317875254875306	0.01790662414388038	0.0	0.0	0.0	0.0	1.0	0.00023526951429915825	0.017331520886704657	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.47777600	-65.28388000	2019-04-28	15	0.6871699691535526	0.1551994562660114	0.03897631620222722	0	0.00967219114340984	0	0.08401735766194385	0.007633188686150468	0	0	0	0.007293354943273906	0	0	0	0	0.0049929419145710256	0.005045224028859727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109464	ITS020	1.4244892127446778	1.0234319188455494	0.024146306615230748	1.0234319188455494	0.024146306615230748	0.0	0.0	0.0	0.0	1.0	0.0012858979854264896	0.03957708244034862	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.41116800	-65.30514000	2019-04-28	15	0.7001000142877554	0.15187883983426204	0.02828975567938277	0.0067152450350050005	0	0	0.061865980854407775	0.011573081868838405	0	0	0	0.027289612801828834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007286755250750107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005000714387769682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109463	ITS019	1.2086634289341804	1.0507233287055435	0.012396971464256775	1.0507233287055435	0.012396971464256775	0.0	0.0	0.0	0.0	1.0	5.161103856892912e-05	0.06159261342816002	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.42782000	-65.29982500	2019-04-28	5	0.6607399990710013	0.1708273765592985	0.03629804342552785	0	0	0	0.05693729774924261	0.013604669766769717	0	0	0	0.034563912529611836	0	0	0	0	0	0	0.0065494407943971055	0	0	0	0.005604958788585703	0	0	0	0	0	0	0.005914625019999277	0	0	0	0	0.008959676295566096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109455	ITS011	1.159390025937137	1.033862707692678	0.00870789728653014	1.033862707692678	0.00870789728653014	0.0	0.0	0.0	0.0	1.0	4.212528058445818e-05	0.024354430075043176	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.56103600	-65.25730500	2019-04-28	5	0.8745870218028416	0.04189058259263048	0	0.0535713211089781	0	0	0	0.005596644420506587	0	0.008882416306094324	0	0	0	0	0	0	0.005602662317732938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009869351451215915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq_accession																																	22385	35445	364589	903836	907383	483064	364534	363106	695980	33927	903851	903841	22415	29206	62746	903839	363624	363581	364304	33881	73508	903838	363677	34357	529468	1150880	363573	904723	50857	363698	903844	363657	363585	363590	903852	697372	903840	364724	363172	903845	363701	363646	1150882	903842	364417	363664	823222	903846	903853	363703	903854	1150883	364576	363583	22426	53434	1150881	364714	891954	1150877	29324	37844	4946	1150879	29665	1150878	34801	56961	892101
