sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A3	A3t	A3ac	A3ae	A3ak	A3af	A3al	A3m	695980_A	33927_A	903851_A	903841_A	22415_A	A4	A3b	903839_A	363624_A	363581_A	364304_A	33881_A	73508_A	903838_A	363677_A	34357_A	529468_A	1150880_A	363573_A	904723_A	50857_A	363698_A	903844_A	363657_A	363585_A	363590_A	903852_A	697372_A	903840_A	364724_A	363172_A	903845_A	363701_A	363646_A	1150882_A	903842_A	364417_A	A3w	823222_A	903846_A	903853_A	363703_A	903854_A	1150883_A	364576_A	363583_A	22426_A	53434_A	1150881_A	364714_A	891954_B	1150877_B	29324_B	B19	B1	1150879_B	B5	1150878_B	C91g	G3b	892101_G
109466	ITS022	117889	103598	1127	103598	1127	0	0	0	0	99670	9	3686	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.37786400	-65.31577000	2019-04-28	15	80575	5728	847	5661	0	2605	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0
109461	ITS017	204650	179971	1927	179971	1927	0	0	0	0	174638	16	11724	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.46112400	-65.28919500	2019-04-28	5	136273	6192	915	7070	0	11328	0	1136	0	1087	0	0	909	0	0	0	0	971	1414	0	0	0	1783	0	0	0	0	0	1225	1313	0	0	1013	0	0	0	0	0	0	0	1063	946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109453	ITS009	286294	255653	2358	255653	2358	0	0	0	0	247071	11	19972	21	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.59434000	-65.24667500	2019-04-28	5	187021	15173	2539	12877	0	7689	0	1779	0	13840	0	0	3039	0	0	0	0	0	0	0	0	0	0	0	1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1650	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
109451	ITS007	100225	87751	1157	87751	1157	0	0	0	0	85652	15	6413	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.62764400	-65.23604500	2019-04-28	5	63541	4709	3194	2074	0	4870	0	851	0	0	0	0	550	0	0	2244	405	0	0	503	0	528	0	0	605	0	0	0	468	0	0	0	0	0	0	0	590	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109452	ITS008	231484	194290	1993	194290	1993	0	0	0	0	186511	16	14886	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.61099200	-65.24136000	2019-04-28	15	136925	10432	6888	4673	0	10710	0	1997	0	0	0	0	1133	0	0	4270	1113	1444	897	986	0	1096	0	0	1449	0	0	0	0	0	0	0	0	0	0	0	1274	0	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109469	ITS_016	67307	40092	1164	40089	1163	3	1	0	0	37852	12	1048	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.32790800	-65.33171500	2019-04-28	15	24962	670	6999	0	3048	0	0	546	245	0	0	0	0	0	382	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	253	0	0	0	0	183	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109456	ITS012	67365	58152	890	58152	890	0	0	0	0	55665	11	1646	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.54438400	-65.26262000	2019-04-28	5	37824	1502	9276	0	3303	0	0	1298	449	0	0	0	302	0	816	0	0	0	0	0	0	0	0	0	257	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109457	ITS013	266231	233326	2345	233326	2345	0	0	0	0	224567	12	7031	4	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.52773200	-65.26793500	2019-04-28	15	151769	6302	36492	0	14060	0	0	5473	2208	0	0	0	1220	0	3436	0	0	0	0	0	0	1232	0	0	0	0	0	1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
109458	ITS014	189531	164131	2105	164016	2103	115	2	0	0	156705	11	5476	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.51108000	-65.27325000	2019-04-28	5	99353	4171	21946	0	8684	0	0	3196	1713	0	0	0	2095	11544	2335	0	0	0	0	0	0	0	0	0	0	0	0	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	693	0	0	0	0	0	0	0	0	0	0	0	0	0
109465	ITS021	218232	189523	2378	189523	2378	0	0	0	0	181892	11	20652	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.39451600	-65.31045500	2019-04-28	5	99957	11779	35621	0	9855	0	0	2309	12560	0	0	0	0	0	1719	0	0	0	0	0	0	0	0	0	0	0	4501	878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1801	0	0	0	0	0	0	0	0	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109470	ITS_025	87463	53265	1637	53265	1637	0	0	0	0	50574	12	6753	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.31125600	-65.33703000	2019-04-28	15	29293	4944	7080	0	1879	0	0	397	3809	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	957	0	0	0	0	697	0	0	0	634	0	0	0	0	0	228	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109459	ITS015	153858	135404	1633	135404	1633	0	0	0	0	130709	7	1263	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.49442800	-65.27856500	2019-04-28	5	88179	22330	4749	0	1326	0	11927	935	0	0	0	1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109460	ITS016	48427	39470	685	39470	685	0	0	0	0	38254	9	663	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.47777600	-65.28388000	2019-04-28	15	26287	5937	1491	0	370	0	3214	292	0	0	0	279	0	0	0	0	191	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109464	ITS020	9970	7163	169	7163	169	0	0	0	0	6999	9	277	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.41116800	-65.30514000	2019-04-28	15	4900	1063	198	47	0	0	433	81	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109463	ITS019	234187	203585	2402	203585	2402	0	0	0	0	193757	10	11934	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.42782000	-65.29982500	2019-04-28	5	128023	33099	7033	0	0	0	11032	2636	0	0	0	6697	0	0	0	0	0	0	1269	0	0	0	1086	0	0	0	0	0	0	1146	0	0	0	0	1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109455	ITS011	192657	171798	1447	171798	1447	0	0	0	0	166171	7	4047	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.56103600	-65.25730500	2019-04-28	5	145331	6961	0	8902	0	0	0	930	0	1476	0	0	0	0	0	0	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq_accession																																	22385	35445	364589	903836	907383	483064	364534	363106	695980	33927	903851	903841	22415	29206	62746	903839	363624	363581	364304	33881	73508	903838	363677	34357	529468	1150880	363573	904723	50857	363698	903844	363657	363585	363590	903852	697372	903840	364724	363172	903845	363701	363646	1150882	903842	364417	363664	823222	903846	903853	363703	903854	1150883	364576	363583	22426	53434	1150881	364714	891954	1150877	29324	37844	4946	1150879	29665	1150878	34801	56961	892101
