#Feature ID	taxonomy	Confidence
3c22526bb61a5f9279d178c142149913	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Nodosilineaceae; g__MBIC10086; s__uncultured_bacterium	0.9999955762849955
c5b65b847d32204be63392af333e555b	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Prochloraceae; g__Prochloron_P1-Palau; s__uncultured_Synechocystis	0.8948364206773339
f26d8ecf02da50f34c7988237d33b665	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999999705791898
5fad73fb6c95116c8f2f84d0d02e06e0	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Blastopirellula	0.9999932607348606
4ecc00dc53508e097ad58563bb43a2a7	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Nostocaceae; g__Rivularia_PCC-7116	0.9994939887227768
4a6e4608a4212e785557fc4dd67467f0	d__Bacteria; p__Bacteroidota; c__Bacteroidia	0.999623924938827
8765fdee06de291e4ea882c5ce899973	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Muricauda; s__Muricauda_lutaonensis	0.714394498726769
cd2e208be599ab605e5ae62d4228bc85	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__JGI_0000069-P22; f__JGI_0000069-P22; g__JGI_0000069-P22; s__uncultured_bacterium	0.9789897065203733
648c7820608a4feac07ad20cadf2d0e7	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Ostreobium_quekettii	0.9984342249176538
a087e2859a5bca997c5d6595c0ac3280	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Synechococcus_CC9902	0.9895757123362525
9228c9d409b0b72a586d69848837f921	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicomonadaceae; g__Endozoicomonas; s__Endozoicomonas_atrinae	0.9802822757411681
4906e8cb66e8b1a041ec0970ce4334ec	d__Bacteria	0.869080046456724
cba33a4be455c6294e95b6127b367a9e	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Ostreobium_quekettii	0.9981488507352728
65986b67b9bab86237ace5593f6b954d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__uncultured	0.9161956685134548
5fcec8027eec3b32a99d1cc70d978a03	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast	1.0000000000000029
3ed4113600f6e84988a8804f0dbe10ed	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Pedinophyceae_sp.	0.9438341633830138
0a7bb9ef4105963bc1d99cff647ebf81	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Eurycoccales; f__Eurycoccales_Incertae_Sedis; g__Synechococcus_PCC-7336	0.9999999999913348
f0d866de83f5cb26bbce9514d6597286	d__Bacteria	0.9353932093938575
35ac93b76e53b0531e6065b8bb9a11c1	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast	0.9999999999623287
cfd8e1457509b839e6fe03972399d98d	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Acrophormium_PCC-7375; s__Leptolyngbya_sp.	0.7214544761554615
733f8049c8174a0942fa420e6a6e3351	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Acrophormium_PCC-7375; s__Leptolyngbya_sp.	0.8919357032157845
ca6ef7ee8773d3730810743ebc654b92	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Ekhidna	0.9999999382251
6f88e58d6b617ff5e75690ca5c697898	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Rubritaleaceae; g__Roseibacillus	0.9999953921930603
fad1a23495d78e48ba4eddbf5748ad37	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Tenderiales; f__Tenderiaceae; g__Candidatus_Tenderia; s__uncultured_bacterium	0.9198791218639708
10c93a8b805de4632d4413ae4efaba4e	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Pleurocladia_lacustris	0.7769326407810898
43576f336b0037098c46650729bca6ed	d__Bacteria	0.963571794563744
