sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
ITS011,109455,-0.11579623220370669,-0.04115136060448312,0.025323323454232473,-0.04455619917284252,0.007050526604598537,0.015277754883932371,-0.01453153243519836,0.02644010088194345,-0.014268548902619279,-0.0027783270709691357,-0.00414958077086249,-0.0004334465984647349,0.015818193509163404,-0.0035109345925517376,-0.0036308919073242767,0.003207773937547027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS012,109456,0.16375275184543697,-0.05853629052003916,-0.037890207302669676,-0.03328074470342445,0.0109982577778835,-0.00408023550781621,-0.017085537897848804,-0.006070768378867095,-0.00409599108073483,-0.013877868791593759,-0.00018856348250933196,0.006070438582316232,0.002985644254146044,-0.0079894366142427,-0.010572999982827553,-0.003737458585893748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS013,109457,0.16602820570739735,-0.057572802178973384,-0.03638638364608761,-0.0332265799765892,0.015323763208517131,0.0025806332065797864,-0.0019134605884255198,-0.0006998355184281036,0.004374622420635001,-0.025031597575742814,0.002011573927361788,-0.011332126228935481,-0.0009332018685676637,-0.0019680506340293965,0.0055725203879909025,0.0004016097702839515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS014,109458,0.20019617951840912,-0.07178538570122231,-0.04081537334412428,-0.04305952041962929,-0.03430039568537936,0.05748724398772315,0.00296711202497199,-0.016291315067292134,0.0163849965079524,0.020002088463285765,-0.006405675027669747,-0.0051885946433434795,0.0022751573115753804,0.002678028771703566,0.0006863032316728043,0.0008533276383330359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS015,109459,0.06472151715224365,0.16292513179725734,-0.0008294108223545447,-0.02095366070808923,0.003898007735817539,0.005980873281480888,-0.020036370538603892,-0.005835414151036219,-0.010012587379919195,-0.010669319716345145,0.011251031925063671,-0.010668782151531908,-0.004988853903854501,0.016863881674265255,0.00045453435446485984,-0.002819125286359895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS016,109460,0.0550377729816205,0.14993662172062946,-0.0037459469984062977,-0.007341014487320461,0.019392480416856362,0.009156880165165762,-0.0027708198427866984,0.004181361584963212,-0.02600642444512372,-0.006115586089360988,-0.01512923577014771,-0.004423324051821879,0.006658674130198406,-0.0024283943840891164,0.0011558613195420092,-0.00022373611243011094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS017,109461,-0.10040535018998148,-0.035906741456906276,-0.06507021053616292,0.011129864945589927,-0.0370730027966562,-0.01559157056723231,0.03814539967222243,0.0022524859583653843,-0.016889596998660602,-0.013421603178530351,0.015300976098782774,0.005048490861113791,0.006206128000671957,-0.0002530304761319034,-0.002228969001189309,0.00028375903512612105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS018,109462,-0.10471730665411959,-0.045669364063677324,-0.039642154503537294,-0.003801348209010412,-0.008318723703896703,0.020960881308016998,0.0019443336882725105,0.018937709350720252,0.013888770021306675,0.0027350014932106086,0.016647548905664146,0.008504347345159886,-0.013516778354619197,-0.000928802320067876,0.0005133998852945939,-0.0026820811001648623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS019,109463,0.06555130191476316,0.17191609947913686,-0.009752476201052013,-0.019735302318430858,-0.02638639670810921,-0.02110473632693067,0.02489491967125146,0.0050982104539127205,0.026168011557540866,0.014688063006579636,0.002881113797281302,0.003328931680407155,0.0041374075401874955,0.00413299553770188,0.0017966106320593225,0.0012770276018567392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS020,109464,0.024408246709402795,0.1511391919595887,-0.0016727954453050298,-0.009408543439966475,0.004487628617469739,-0.0007385788588403612,-0.01276590292837649,-0.0019601029735898416,0.015669903126411866,0.0016896345961580786,0.004525815468222984,0.012053900903929217,-0.005069003822755243,-0.020875438314345043,-0.003885231993938652,0.002031352310212814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS021,109465,0.26578515056825597,-0.07628328410934856,0.06716109055727591,0.049727814160141826,0.01566642461475482,-0.03755732157937629,-0.016304680308337385,-0.00035270714609751246,0.025902558814412904,-0.0020167900989213694,0.004215155384097361,0.0008289737386939658,0.0026241052178138297,0.001720789096303804,-6.721629947156446e-05,-0.00025823308078735187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS022,109466,-0.09858609201104672,-0.022939128321469188,0.007168600475124954,0.01566916304396276,-0.006149835678788565,-0.012349043879189388,-0.0218337844659593,-0.0008446566232634558,-0.009938851417581968,0.022759043816739,0.025923705239753535,-0.029703573431845712,-0.0005858598252762569,-0.010454835532459456,0.0016219426690165177,0.0002836339416718328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS023,109467,-0.09058836151955545,-0.019219454700653393,0.017936729435391863,-0.0089226046497601,0.0443462496910851,0.002505471978129624,0.024851226670717316,-0.06901321842228297,-0.010330467300304437,0.012820209820150818,0.0005981669951907514,0.004828656688695864,-0.0025489824231066114,-0.001042104709306897,-7.641969911064187e-05,-3.7219624475892604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS024,109468,-0.0848211085152635,-0.02037214609793782,0.017839084795904528,-0.0073497490638041296,0.016702408706522176,-0.006703610093581529,0.008918644938194895,0.024598608153151943,0.005087852476059158,0.02683108212299183,-0.023350426334540715,-0.003886897078120478,0.001698627939698822,-0.0017573645931589852,-8.293515791633563e-05,-0.003097028591160266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS_016,109469,0.1903551193136515,-0.06238281127008889,-0.0274286326386127,-0.04950035385652548,0.01512282326447181,-0.038198531418949654,0.01360554172243038,0.017087337250169064,-0.02528961781216482,0.014124052472311074,0.004609193948316317,0.009917647473687,-0.0050898538692901365,0.0026040533126388534,0.007192808275837814,0.0016996166897953458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS_025,109470,0.22493228696703899,0.0017648469436283528,0.08890269733913844,0.07671776804395544,-0.029747252944422174,0.027931461742208594,0.022438109437465322,0.0055419258090846565,-0.025289517640022685,0.0013094740190027472,-0.0018662536308032371,0.0006193196645064088,-0.0025115759290704576,-0.0014113326560341998,-0.0033558441980473296,0.0008103648904370512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.5917825507300778,0.19657576142941766,0.073401905805115,0.045463323149187385,0.020093664487375616,0.016167893079950795,0.015061493115190002,0.012401419886352683,0.008598459089549195,0.006539161880053827,0.0053287378486786,0.0032994761744133843,0.002266858522919186,0.001879974028201545,0.0009044202762386637,0.00023490049727867247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
