sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
ITS001,109445,-0.15750573710219135,-0.0975615634419569,-0.1074411772268214,-0.04645528542404811,0.0009824409664904127,0.015845525495625044,-0.00564416124139086,-0.03583674660710264,0.0585763804890022,0.023897882878056304,-0.0017440842218123145,0.00834232722816662,0.03767828038698722,0.011942357269598539,0.01787573500403423,-0.015255990745428693,0.015107010450270419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS002,109446,-0.17208014571356706,-0.07620706256812115,-0.11317714875820019,-0.010071822490487025,-0.006890304739151798,0.017603771433790816,-0.0029859681347605554,-0.006077915869672523,0.04765786634779009,-0.011118677564088733,-0.004913833965442069,0.010297974419081311,0.01960426502681831,-0.0008467429630714727,-0.010203024556726092,0.0033246396800763254,-0.00982091293271045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS003,109447,-0.13933301543433582,0.04420164353298464,0.016686322603674964,0.2340249650419897,-0.07552081778464485,-0.027581544507328273,0.034117935349267235,0.0259352184342423,-0.04387636170537057,0.029716423786356628,-0.0018122885491432897,-0.002181965971346565,-0.004254063202472065,-0.0007299021413603344,0.009311427870645478,-0.0026882920926595594,0.0044662879740831295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS004,109448,-0.15981491059726535,-0.03763199036456826,-0.10401296315124973,0.0720630784839476,0.04425526902916815,-0.03044951522748119,0.0070618827006950855,0.05650048294308289,-0.09497720844156254,0.012134347881596149,-0.013255387134412086,-0.04599531101689594,0.018328996982467496,-0.018096322435100277,0.0040620937803427124,-0.010067576812155568,0.001094309665168429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS005,109449,-0.12108500528265662,0.05011768076834422,-0.003079095061559974,-0.08213887003361642,-0.08716300185752182,0.024492010357686216,-0.04982447465341678,0.042588171077993564,0.007007629874293723,-0.057844826893055826,-0.02490231126116245,-0.020848893065382137,0.00407183571506957,-0.022175290975704753,-0.01200201396657847,0.004405409560015569,-0.0009041727826969969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS006,109450,-0.13374926758916367,0.06657618350677562,0.02254811246802076,-0.03162254333187543,-0.11724118940438646,0.05391545070896202,-0.014972164996361594,0.06744629571466165,0.03330610763088654,0.003616010450189987,-0.024366686465531726,-0.01980410653337451,-0.017933389065163233,0.02728841257404604,0.010644567694075888,0.010171894455454111,0.0006210282696697782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS007,109451,-0.01794353490479114,0.207863191700667,0.14051893240331748,-0.12314976931917324,0.03990212224564971,0.002022610870920254,0.028761379572248287,0.027181227671725892,0.005100741465722216,0.030657240323399854,-0.030849485082295663,0.010872545282145466,0.015946552840405116,-0.024973051802056973,0.015659102053163242,-0.014119567861476246,0.0025796462455504143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS008,109452,-0.009294850239688776,0.2111100591015467,0.15758616159340016,-0.11081451504832386,0.010621609722872034,-0.06243907342962686,-0.015796658418912996,-0.0023359975942817764,-0.022758250227426634,0.03643792762248455,0.02787311587254944,0.007174759245082255,0.013998145175169743,0.005716235925046397,-0.011624898095544766,0.003342588881352762,0.00989383691130576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS009,109453,-0.12343944113161291,0.09981944757845285,0.004145915906378759,0.012204883326922478,0.10650324020958628,0.02028327686448751,0.0656184696914617,0.04410405124216083,-0.04920077307518043,-0.06523211613930055,0.01807533293926213,0.03912934727422861,0.006654310924298547,0.02786236269967602,-0.005198394833059948,0.011155084386296935,0.00017049851665237672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS010,109454,-0.17126307103140995,-0.08934958406575479,-0.09413517792102559,0.0038311977887604703,0.00011017540834038974,0.0186984764262009,0.006374723557565504,0.009797728669036245,0.023785110315791922,-0.021149339273230726,-0.005693372432631623,0.004028684820336654,0.016575915659881837,0.005405837521991681,-0.023861785204482865,0.01456750897755282,0.01696614216555932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
