repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	70.9477660479369	162	2.455368631041178	49.533574352012984	4452251	0.018496213411846436	3.255691285715117e-15	70.9477660479369	162	2.455368631041178	49.506599373921574	4449031	0.018500232454220472	3.04802787573486e-15	NA	0	NA	86.19245881901323	2147	0.6043241609643931	NA	NA	0	NA	88.02927687050357	1073	0.7807300057470122	NA
LINE	55.506124584298384	114	3.5046403627616822	49.53420059664037	4452299	0.0184961084291695	0.09113288891562031	55.506124584298384	114	3.5046403627616822	49.50722636281685	4449079	0.01850012760548015	0.08969927227182678	NA	0	NA	86.19245881901323	2147	0.6043241609643931	NA	NA	0	NA	88.02927687050357	1073	0.7807300057470122	NA
Low_complexity	47.83286748752509	2477	0.7606592976586501	49.53530061278574	4449936	0.018501299455428805	0.02534610912959423	47.737464711407625	2472	0.7609463978516203	49.50836399326399	4446721	0.018505316552881568	0.020069888043691208	95.0	5	5.0	86.17189966592969	2142	0.6055751526574076	0.1524476569973034	NA	0	NA	88.02927687050357	1073	0.7807300057470122	NA
SINE	62.33933045836382	258	2.3967078895961755	49.533611460779255	4452155	0.018496350869056297	2.0162577680365966e-07	62.192790888162904	257	2.401550276078043	49.50664727701167	4448936	0.01850036930022887	2.7278071435889726e-07	NA	0	NA	86.19245881901323	2147	0.6043241609643931	NA	100.0	1	NA	88.01811015116634	1072	0.781378701700398	NA
Satellite	21.666666666666668	3	1.6666666666666705	49.53437227937767	4452410	0.0184958654229682	0.003554362802065133	21.666666666666668	3	1.6666666666666705	49.50739884276856	4449190	0.018499884490064195	0.0035612168245351497	NA	0	NA	86.19245881901323	2147	0.6043241609643931	NA	NA	0	NA	88.02927687050357	1073	0.7807300057470122	NA
Simple_repeat	51.528310535567584	29892	0.23192512101397464	49.52087626534611	4422521	0.018554606887495998	6.545508495532217e-18	51.388384871391736	29779	0.23226667262402903	49.4947054392669	4419414	0.018558512802660597	4.562021172957725e-16	89.07575751543045	40	4.257423695185142	86.13772130223265	2107	0.6105411284165627	0.49841603980710614	88.03445401910233	73	2.743307872037463	88.02889893865586	1000	0.8137771421042033	0.9984555729693945
all_repeats	51.44156247664315	32906	0.22006066003460295	49.52015313598723	4419507	0.01856122756019756	3.45653965308357e-18	51.30605146589831	32787	0.220363524897103	49.494026896042854	4416406	0.018565130878318795	2.6194850576586583e-16	89.73400668038262	45	3.8225810518815035	86.11664071541588	2102	0.6118284184757966	0.3549362079431132	88.19615058641176	74	2.7108090183844955	88.01691585451036	999	0.8145038217571239	0.9496558504284869
