repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	60.83841320954634	181	2.2941938869923617	49.75916784623676	4172842	0.018595011920766732	2.9199169385229035e-06	60.40085358060272	179	2.298823682918298	49.407213922476416	4140212	0.018623075707333174	3.622306501553308e-06	100.0	1	NA	93.93312561110902	20686	0.12963457918287438	NA	100.0	1	NA	95.2532542725178	11944	0.14740789460316972	NA
LINE	41.19774610179287	143	3.063736706299966	49.759941802525994	4172880	0.018594831176311284	0.005914371382439708	41.19774610179287	143	3.063736706299966	49.407972769626916	4140248	0.018622897753753847	0.00823832972344124	NA	0	NA	93.93341888100746	20687	0.12962864430101473	NA	NA	0	NA	95.25365165600272	11945	0.14739608921329056	NA
Low_complexity	45.9306563332422	2397	0.7468664938081665	49.76184904697435	4170626	0.01860018672233689	3.160834781673287e-07	44.661964161727276	2332	0.7478395497358483	49.41036365618994	4138059	0.01862821584124852	2.620665839686125e-10	82.7559767405192	30	4.770106352499104	93.94965179305736	20657	0.12960416161391267	0.026025773388396487	98.89724295479911	35	0.9598001547759543	95.242944208861	11910	0.14779200226026973	0.0006046917674588145
SINE	57.068144433533966	268	2.3294902575023846	49.75917899898485	4172755	0.018595076989072826	0.0018948946585930018	56.58212342712115	265	2.3388861768908997	49.40722998732084	4140126	0.018623139354791006	0.002382555653587216	100.0	1	NA	93.93312561110902	20686	0.12963457918287438	NA	100.0	2	0.0	95.25285682248618	11943	0.14741970187841824	3.0724442312878904e-218
Satellite	5.479799906412761	3	0.7503975235231886	49.759680228519755	4173020	0.01859450875749249	0.0002848366778576837	5.479799906412761	3	0.7503975235231886	49.40772103527378	4140388	0.018622572601453	0.00028941615969576846	NA	0	NA	93.93341888100746	20687	0.12962864430101473	NA	NA	0	NA	95.25365165600272	11945	0.14739608921329056	NA
Simple_repeat	51.14617182740845	29128	0.23026816799271013	49.749902334308295	4143895	0.018655036608424245	1.522671020052518e-09	50.21902182042978	28421	0.23234154472581514	49.40208146023352	4111970	0.018682363528388875	0.00045763397295514775	90.26961012681325	288	1.3142808679728166	93.98514577552228	20399	0.13011101179669532	0.005235619804974821	87.14373774175712	419	1.1499677604706964	95.54846806499707	11526	0.1462031950772125	1.9365261081946964e-12
all_repeats	50.81242866783703	32120	0.21804311405962784	49.75148222931237	4140903	0.018662201367649112	1.2526118488987933e-06	49.872068792871566	31343	0.21989398874436777	49.40414701142939	4109048	0.018689494179780018	0.033988643163319524	89.6260219335556	320	1.268750036957109	94.00109536861902	20367	0.13009643888779368	0.0006803980412787521	88.12829237902451	457	1.0677743509807667	95.53710301303431	11488	0.14664679296178043	1.977682953531738e-11
