repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	56.45517650996249	163	2.7697776872663504	45.363370065074754	4423749	0.018120146801695547	9.445609287728202e-05	56.45517650996249	163	2.7697776872663504	45.334076520774296	4420513	0.01812248843638331	9.068678358642225e-05	NA	0	NA	84.13375545354242	2181	0.624894568631583	NA	NA	0	NA	87.95510737692575	1055	0.7855038636178281	NA
LINE	37.9130782094495	116	3.0394770709005763	45.363974116054	4423796	0.018120085347884462	0.0157372051083438	37.9130782094495	116	3.0394770709005763	45.334681325392346	4420560	0.01812242721283421	0.01614170211926878	NA	0	NA	84.13375545354242	2181	0.624894568631583	NA	NA	0	NA	87.95510737692575	1055	0.7855038636178281	NA
Low_complexity	44.07438408175461	2409	0.7472267161129972	45.36448125547412	4421503	0.018125089990246257	0.0844744553932882	43.89684226295261	2399	0.747725520470635	45.335267180455155	4418277	0.018127423500864843	0.0545770015472746	88.0952377319336	7	7.896725855633029	84.1209999908245	2174	0.6264461642829096	0.6335365421351824	83.33333333333333	3	16.666666666666675	87.9682873409284	1052	0.7867506533464181	0.8071548063516466
SINE	55.2477933495133	270	2.3450066418038475	45.36317546753809	4423642	0.01812029864739447	3.412799949898797e-05	55.2477933495133	270	2.3450066418038475	45.33388107170344	4420406	0.018122640205800025	3.239973381145867e-05	NA	0	NA	84.13375545354242	2181	0.624894568631583	NA	NA	0	NA	87.95510737692575	1055	0.7855038636178281	NA
Satellite	10.470085144042969	2	4.914529800415039	45.36379452014287	4423910	0.018119797752428394	0.08907371582517593	10.470085144042969	2	4.914529800415039	45.33450235341452	4420674	0.018122139389055027	0.08914758004153076	NA	0	NA	84.13375545354242	2181	0.624894568631583	NA	NA	0	NA	87.95510737692575	1055	0.7855038636178281	NA
Simple_repeat	48.35545170352168	29664	0.22853853007329777	45.34358302864159	4394248	0.01817637916855011	2.5827345700703654e-39	48.22019665524439	29550	0.22884200940018076	45.31506724828352	4391126	0.018178624516321823	1.3023096374455916e-36	80.73653184043036	36	5.023358356238144	84.19077179390234	2145	0.6298478283797587	0.49940728001238843	84.65119262230702	78	3.1216460555249164	88.21887948630166	977	0.8106679508005871	0.2716676002000964
all_repeats	48.09739044275045	32624	0.2167551585412391	45.343470045683915	4391288	0.01818289452646662	1.1869035489048007e-36	47.961639722134514	32500	0.21703168039955273	45.31502918430785	4388176	0.018185131769367455	6.616561299835984e-34	81.93446070648903	43	4.38532978666764	84.1779882290912	2138	0.6314381987602656	0.6151346364859095	84.6023830190117	81	3.0479247284477933	88.2339273697297	974	0.8120374192355185	0.25259285761215844
