repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	58.51981951590298	147	2.8322664133374893	46.62446409657577	4353715	0.01827481611971836	4.6255855364836995e-05	58.51981951590298	147	2.8322664133374893	46.59768230561168	4350623	0.01827766056325231	4.4563678772434506e-05	NA	0	NA	83.06075953901285	2024	0.6710381734336851	NA	NA	0	NA	86.67166800490033	1068	0.8239524708006559	NA
LINE	45.096468255326556	111	3.316236206681389	46.62490468786935	4353751	0.018274749340940363	0.6457889022023912	45.096468255326556	111	3.316236206681389	46.59812343164098	4350659	0.018277593908841767	0.6515757396519674	NA	0	NA	83.06075953901285	2024	0.6710381734336851	NA	NA	0	NA	86.67166800490033	1068	0.8239524708006559	NA
Low_complexity	45.97320169916075	2306	0.7608044438407771	46.625211054292755	4351556	0.018279716716563872	0.3916705466315705	45.78511885041979	2298	0.7605407146553042	46.59851474169266	4348472	0.018282563353067705	0.28509719583504606	100.0	6	0.0	83.01039509760258	2018	0.672718589806949	1.639318173973924e-122	100.0	2	0.0	86.6466617535024	1066	0.8253091442127671	8.149872839589638e-53
SINE	55.139700323013365	271	2.286407208547833	46.62433569412117	4353591	0.01827503465706344	0.00023850318280172695	55.139700323013365	271	2.286407208547833	46.5975530485511	4350499	0.018277879125878017	0.00022819161357940317	NA	0	NA	83.06075953901285	2024	0.6710381734336851	NA	NA	0	NA	86.67166800490033	1068	0.8239524708006559	NA
Satellite	25.0	1	NA	46.62487068780842	4353861	0.018274481143744383	NA	25.0	1	NA	46.59809008452438	4350769	0.018277325545246494	NA	NA	0	NA	83.06075953901285	2024	0.6710381734336851	NA	NA	0	NA	86.67166800490033	1068	0.8239524708006559	NA
Simple_repeat	49.5324117235186	29089	0.23151951033828794	46.605309178786214	4324773	0.018331011741852418	2.5050238583653835e-36	49.391878160933324	28987	0.23178729780617172	46.579346632328615	4321783	0.0183337863446065	1.327901721102635e-33	95.23809523809524	21	3.281916369545292	82.93308901995108	2003	0.6766633166769762	0.001357885452836966	87.97472067232485	81	2.6235868961261426	86.56473055195059	987	0.865433963452993	0.6109315285951178
all_repeats	49.34811301413979	31925	0.2196498885626087	46.6047498169723	4321937	0.018337482739181305	1.7637940243775602e-35	49.20674385044647	31815	0.2198811943200244	46.578868787323344	4318955	0.018340259846923373	1.2293072239508962e-32	96.29629629629629	27	2.568056464005692	82.88181137053681	1997	0.6783728071011015	2.064101176925929e-05	88.26448643925679	83	2.568069340114059	86.5374508170307	985	0.8669768635071943	0.5254448114708032
