repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	60.603586713473	162	2.5181798740341894	46.89182999898627	4441340	0.018537918075188724	1.9025954572045065e-07	60.603586713473	162	2.5181798740341894	46.86365254384878	4438072	0.018541361135674773	1.8041981910098772e-07	NA	0	NA	84.04251632545026	2189	0.6296724429849514	NA	NA	0	NA	87.4207663366483	1079	0.8091170089550043	NA
LINE	51.40320221309004	116	3.6299361907175287	46.892212308790214	4441386	0.018537750297655815	0.21650523484762157	51.40320221309004	116	3.6299361907175287	46.86403542721823	4438118	0.018541193343314083	0.2136680408675993	NA	0	NA	84.04251632545026	2189	0.6296724429849514	NA	NA	0	NA	87.4207663366483	1079	0.8091170089550043	NA
Low_complexity	46.168343533449566	2425	0.7558227003683926	46.89272562644817	4439077	0.018543040265936613	0.33810079194011255	46.01085356583169	2417	0.7560225676588986	46.86461901394106	4435817	0.018546480419757372	0.25903255591942137	100.0	3	0.0	84.0206167595657	2186	0.6304097712907969	1.7633843702025957e-124	90.0	5	10.0	87.40875873113922	1074	0.8117995446102139	0.8087815221557939
SINE	57.39260589031584	251	2.4989818741253083	46.8917366941582	4441251	0.018537983684879213	3.685411702251881e-05	57.39260589031584	251	2.4989818741253083	46.863558605238715	4437983	0.01854142666213433	3.517723727476642e-05	NA	0	NA	84.04251632545026	2189	0.6296724429849514	NA	NA	0	NA	87.4207663366483	1079	0.8091170089550043	NA
Satellite	11.616161346435547	3	2.525252342224121	46.89235395083084	4441499	0.018537517067836042	0.005083469673467039	11.616161346435547	3	2.525252342224121	46.8641778909542	4438231	0.01854096003409606	0.005091538162321442	NA	0	NA	84.04251632545026	2189	0.6296724429849514	NA	NA	0	NA	87.4207663366483	1079	0.8091170089550043	NA
Simple_repeat	48.83999479587995	29686	0.2326560682057483	46.87922477801313	4411816	0.018596313247011134	4.6204457074574324e-17	48.69312208810687	29569	0.23297861348128907	46.851887141937155	4408665	0.01859964939811366	3.4399216715418028e-15	84.53675234788342	38	5.029858833837419	84.03378505215763	2151	0.634767381212923	0.9214909846337278	86.64255567140216	79	2.744875092681054	87.48224497920275	1000	0.8460054130068332	0.7706738148223199
all_repeats	48.771352622182924	32643	0.22060081518867763	46.87841792289101	4408859	0.018603039059969215	1.2777452059062876e-17	48.62648702745116	32518	0.2208865970925521	46.851146521580816	4405716	0.01860637251244969	1.1944270503527428e-15	85.66820949316025	41	4.700539460524314	84.01148586926958	2148	0.635523499531771	0.7286492280373266	86.84240354810443	84	2.63694366083295	87.46959294392236	995	0.8490498778205684	0.8213473253611719
