repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	179	1	1	144	463	1619	4.337383235127149e-05	0.9999566261676487	2.3380520821958948	9.843199753882575e-23	4.323263189394432e-05	0.999956767368106	4.4644230996571626	2.067255608989057e-39	4.833953690723643e-05	0.9999516604630928	2.2200747618040313	0.3631401182018894	8.371703641691084e-05	0.999916282963583	4.336379426824874	0.20606228931061704
LINE	143	0	0	270	616	2172	3.4267723901833275e-05	0.9999657322760982	1.3445976763766418	0.0008375236374964971	3.453780089851417e-05	0.9999654621991015	1.9021275009326692	2.526062355714231e-09	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Low_complexity	2332	30	35	11047	12502	129442	0.0005744037356132473	0.9994255962643868	0.4501814242672081	0.0	0.0005632318300373081	0.9994367681699627	0.7579949990758644	7.078335871673371e-36	0.0014501861072170929	0.9985498138927829	2.4686166687164586	1.6543385963106386e-05	0.0029300962745918793	0.9970699037254082	1.9008264414830973	0.0006070460606440499
SINE	265	1	2	333	768	1892	6.422202801182739e-05	0.9999357779719882	2.5747503277912958	4.979858891518832e-39	6.40036170496941e-05	0.9999359963829503	2.8581166450086384	1.6316163761229458e-34	4.833953690723643e-05	0.9999516604630928	1.3383852479736698	0.5265935233526291	0.00016743407283382168	0.9998325659271662	7.421948494248314	0.030445466511782936
Satellite	3	0	0	17	22	154	7.18903298639859e-07	0.9999992810967013	0.44694444646554227	0.22855931739790597	7.245692496191785e-07	0.9999992754307504	0.6337710378834062	0.5951372253564498	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Simple_repeat	28421	288	419	96483	113956	726767	0.00698007176092727	0.9930199282390727	0.8928985803286964	4.703852012471048e-83	0.00686432754780889	0.9931356724521911	1.058310434561771	8.348724091906661e-17	0.013921786629284092	0.9860782133707159	2.6202771917419034	9.514147987246544e-45	0.035077438258685645	0.9649225617413144	4.158073169023715	1.6280603258344908e-121
sum_repeats	31343	320	457	108294	128327	862046	0.007697057984104089	0.9923029420158959	0.839383188769545	5.3393705684492905e-220	0.00757005799693797	0.992429942003062	1.0397335556110032	1.646156134673232e-09	0.015468651810315657	0.9845313481896844	2.5876795608534944	1.5937638844639377e-48	0.03825868564252825	0.9617413143574718	3.829886734126191	4.854605877201154e-120
not_repeats	4109048	20367	11488	14761385	21135164	82993599																	
