repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	59.49523945850662	158	2.438198940203078	51.67000140206065	3852102	0.019739710798316587	0.0016132928940323565	59.49523945850662	158	2.438198940203078	51.641716523237754	3848980	0.01974535831495492	0.001553310179203497	NA	0	NA	85.48198379290926	2058	0.6190230420569748	NA	NA	0	NA	88.58999494659274	1064	0.750167804879919	NA
LINE	47.54558335320424	118	3.1945983491198504	51.67044870357308	3852142	0.019739530127543446	0.1991879311153801	47.54558335320424	118	3.1945983491198504	51.64216448150709	3849020	0.01974517761837271	0.20226450188901599	NA	0	NA	85.48198379290926	2058	0.6190230420569748	NA	NA	0	NA	88.58999494659274	1064	0.750167804879919	NA
Low_complexity	50.8524587147769	1981	0.8458495164438415	51.67074315082131	3850279	0.019744529943817986	0.33358808532549844	50.70314972859395	1975	0.8462195429355598	51.64252088895951	3847163	0.019750175139744832	0.26722993877671675	100.0	4	0.0	85.4537111225936	2054	0.6200673213376073	5.1062288096324695e-108	100.0	2	0.0	88.56850717813057	1062	0.7514271817243139	1.995332650453981e-47
SINE	64.71373523984637	224	2.4664798163204846	51.66956386493308	3852036	0.019739733460803436	2.9389897444986745e-07	64.71373523984637	224	2.4664798163204846	51.641278146186785	3848914	0.019745380763835047	2.7796914853028887e-07	NA	0	NA	85.48198379290926	2058	0.6190230420569748	NA	NA	0	NA	88.58999494659274	1064	0.750167804879919	NA
Satellite	50.0	1	NA	51.67032278689337	3852259	0.01973917452373116	NA	50.0	1	NA	51.642039322436716	3849137	0.019744821635860083	NA	NA	0	NA	85.48198379290926	2058	0.6190230420569748	NA	NA	0	NA	88.58999494659274	1064	0.750167804879919	NA
Simple_repeat	54.63117487070508	25392	0.25186139744423613	51.650676531408486	3826868	0.01979935951857667	4.864950113466059e-32	54.47927814825234	25275	0.2524070656349136	51.623285289313195	3823863	0.019804829021719456	1.9257936637894837e-29	88.91269844373068	30	4.7683000643117195	85.43123357618114	2028	0.6242707988483839	0.47470450515421625	86.93857662705169	87	2.682269996466292	88.73705062090191	977	0.7815184805999355	0.521203118920152
all_repeats	54.44105676956175	27874	0.23893794884667804	51.650127882572605	3824386	0.019806255726789686	3.018374441624872e-31	54.29206080050805	27751	0.2394167955484845	51.62279437601352	3821387	0.019811724128639956	1.2714102072089706e-28	90.2170868621153	34	4.244612903299614	85.40244154767556	2024	0.6253387466650787	0.26954606288166444	87.23209175902807	89	2.629761218144069	88.71394713499608	975	0.7829514765414634	0.5903035155799031
