repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	203	0	1	120	464	1619	1.2360843562133356e-05	0.9999876391564378	0.6040555033884524	1.9899132319595029e-13	1.2333412356280812e-05	0.9999876665876437	0.2621495017169071	9.115563416841679e-27	0.0	1.0	0.0	1.0	0.00011631964638827499	0.9998836803536117	6.025568149973371	0.15301400660532322
LINE	361	3	0	52	613	2172	2.2055622826551673e-05	0.9999779443771735	0.8369603336953471	0.0012388493438434296	2.193281704737622e-05	0.9999780671829527	1.075855266946909	0.6652880830851955	8.385275456298739e-05	0.999916147245437	2.906745455041259	0.08677842522159156	0.0	1.0	0.0	1.0
Low_complexity	10729	238	76	2650	12294	129401	0.0006691215463560718	0.9993308784536439	0.4987214339027522	0.0	0.0006518481831060927	0.999348151816894	0.6271832405329516	2.9739372496412784e-93	0.006652318528663667	0.9933476814713363	11.567871342253326	8.830782807784062e-160	0.0088402931255089	0.9911597068744911	5.771176670895622	1.9108709978868297e-32
SINE	538	0	0	60	769	1894	3.2598695276606595e-05	0.9999674013047234	1.2888503716889097	1.5948384583224473e-07	3.26865805304388e-05	0.9999673134194695	1.3895824665233107	0.013823301299231565	0.0	1.0	0.0	0.6448954719731355	0.0	1.0	0.0	1.0
