repeat_family	coverage	pct_coverage
DNA	0	0.0
LINE	38235	0.01688788560081366
Low_complexity	534374	0.23602581352292923
SINE	1838	0.0008118198962807769
Satellite	0	0.0
Simple_repeat	2442697	1.0789064337243555
not_repeats	223387753	98.66736804725562
